"","counts.top.90.TF","fc.abs.2fold"
"182",TRUE,TRUE
"183",TRUE,TRUE
"184",TRUE,FALSE
"185",TRUE,FALSE
"186",TRUE,TRUE
"187",TRUE,FALSE
"188",TRUE,FALSE
"189",TRUE,FALSE
"190",TRUE,TRUE
"191",TRUE,FALSE
"192",TRUE,FALSE
"193",TRUE,TRUE
"194",TRUE,FALSE
"195",TRUE,FALSE
"196",TRUE,FALSE
"197",TRUE,FALSE
"198",TRUE,FALSE
"199",TRUE,FALSE
"200",TRUE,FALSE
"201",TRUE,TRUE
"202",TRUE,TRUE
"203",TRUE,FALSE
"204",TRUE,FALSE
"205",TRUE,TRUE
"206",TRUE,FALSE
"207",TRUE,TRUE
"208",TRUE,TRUE
"209",TRUE,TRUE
"210",FALSE,TRUE
"211",TRUE,TRUE
"212",TRUE,FALSE
"213",TRUE,FALSE
"214",TRUE,FALSE
"215",TRUE,TRUE
"216",TRUE,FALSE
"217",TRUE,FALSE
"218",TRUE,FALSE
"219",TRUE,FALSE
"220",TRUE,FALSE
"221",TRUE,FALSE
"222",TRUE,FALSE
"223",TRUE,TRUE
"224",FALSE,TRUE
"225",TRUE,FALSE
"226",TRUE,TRUE
"227",TRUE,TRUE
"228",TRUE,TRUE
"229",TRUE,TRUE
"230",TRUE,TRUE
"231",TRUE,TRUE
"232",TRUE,TRUE
"233",TRUE,FALSE
"234",TRUE,FALSE
"235",TRUE,FALSE
"236",TRUE,FALSE
"237",TRUE,TRUE
"238",TRUE,TRUE
"239",TRUE,FALSE
"240",TRUE,FALSE
"241",TRUE,TRUE
"242",TRUE,TRUE
"243",FALSE,TRUE
"244",TRUE,FALSE
"245",TRUE,FALSE
"246",TRUE,TRUE
"247",TRUE,FALSE
"248",TRUE,FALSE
"249",TRUE,TRUE
"250",TRUE,FALSE
"251",TRUE,FALSE
"252",TRUE,FALSE
"253",TRUE,FALSE
"254",TRUE,FALSE
"255",TRUE,FALSE
"256",TRUE,FALSE
"257",TRUE,FALSE
"258",TRUE,FALSE
"259",TRUE,TRUE
"260",TRUE,FALSE
"261",TRUE,TRUE
"262",TRUE,TRUE
"263",TRUE,FALSE
"264",TRUE,FALSE
"265",TRUE,FALSE
"266",TRUE,FALSE
"267",TRUE,TRUE
"268",TRUE,TRUE
"269",TRUE,TRUE
"270",TRUE,TRUE
"271",TRUE,TRUE
"272",TRUE,TRUE
"273",TRUE,TRUE
"274",TRUE,FALSE
"275",TRUE,TRUE
"276",TRUE,FALSE
"277",TRUE,FALSE
"278",TRUE,FALSE
"279",TRUE,FALSE
"280",TRUE,FALSE
"281",TRUE,TRUE
"282",TRUE,TRUE
"283",TRUE,TRUE
"284",TRUE,TRUE
"285",TRUE,FALSE
"286",TRUE,TRUE
"287",FALSE,TRUE
"288",TRUE,TRUE
"289",TRUE,FALSE
"290",TRUE,FALSE
"291",TRUE,TRUE
"292",TRUE,TRUE
"293",TRUE,TRUE
"294",TRUE,FALSE
"295",TRUE,FALSE
"296",TRUE,TRUE
"297",TRUE,FALSE
"298",TRUE,TRUE
"299",TRUE,FALSE
"300",TRUE,FALSE
"301",TRUE,FALSE
"302",TRUE,FALSE
"303",TRUE,FALSE
"304",TRUE,TRUE
"305",TRUE,FALSE
"306",TRUE,FALSE
"307",TRUE,TRUE
"308",TRUE,FALSE
"309",TRUE,FALSE
"310",TRUE,FALSE
"311",TRUE,FALSE
"312",TRUE,FALSE
"313",TRUE,FALSE
"314",TRUE,FALSE
"315",TRUE,FALSE
"316",TRUE,FALSE
"317",TRUE,FALSE
"318",TRUE,FALSE
"319",TRUE,FALSE
"320",TRUE,FALSE
"321",TRUE,FALSE
"322",TRUE,FALSE
"323",TRUE,TRUE
"324",TRUE,FALSE
"325",TRUE,FALSE
"326",TRUE,FALSE
"327",TRUE,TRUE
"328",TRUE,FALSE
"329",TRUE,FALSE
"330",TRUE,TRUE
"331",TRUE,TRUE
"332",TRUE,FALSE
"333",TRUE,TRUE
"334",TRUE,TRUE
"335",TRUE,FALSE
"336",FALSE,TRUE
"337",TRUE,TRUE
"338",TRUE,TRUE
"339",TRUE,TRUE
"340",TRUE,FALSE
"341",TRUE,FALSE
"342",TRUE,TRUE
"343",TRUE,FALSE
"344",TRUE,FALSE
"345",TRUE,TRUE
"346",TRUE,FALSE
"347",TRUE,TRUE
"348",TRUE,TRUE
"349",TRUE,FALSE
"350",TRUE,TRUE
"351",TRUE,FALSE
"352",TRUE,FALSE
"353",TRUE,FALSE
"354",TRUE,FALSE
"355",TRUE,FALSE
"356",TRUE,FALSE
"357",TRUE,FALSE
"358",TRUE,FALSE
"359",TRUE,FALSE
"360",TRUE,TRUE
"361",TRUE,FALSE
"362",TRUE,FALSE
"363",TRUE,FALSE
"364",TRUE,FALSE
"365",TRUE,TRUE
"366",TRUE,FALSE
"367",TRUE,FALSE
"368",TRUE,TRUE
"369",TRUE,FALSE
"370",TRUE,TRUE
"371",TRUE,TRUE
"372",FALSE,TRUE
"373",TRUE,TRUE
"374",TRUE,FALSE
"375",TRUE,TRUE
"376",TRUE,TRUE
"377",TRUE,FALSE
"378",TRUE,FALSE
"379",TRUE,FALSE
"380",FALSE,TRUE
"381",TRUE,TRUE
"382",TRUE,TRUE
"383",TRUE,TRUE
"384",TRUE,FALSE
"385",TRUE,TRUE
"386",TRUE,FALSE
"387",TRUE,TRUE
"388",TRUE,TRUE
"389",TRUE,TRUE
"390",TRUE,FALSE
"391",TRUE,FALSE
"392",TRUE,FALSE
"393",TRUE,TRUE
"394",TRUE,TRUE
"395",TRUE,FALSE
"396",TRUE,FALSE
"397",TRUE,FALSE
"398",TRUE,TRUE
"399",FALSE,TRUE
"400",TRUE,FALSE
"401",TRUE,FALSE
"402",TRUE,TRUE
"403",TRUE,TRUE
"404",TRUE,TRUE
"405",TRUE,TRUE
"406",TRUE,FALSE
"407",TRUE,TRUE
"408",TRUE,FALSE
"409",TRUE,TRUE
"410",TRUE,FALSE
"411",TRUE,FALSE
"412",TRUE,FALSE
"413",TRUE,FALSE
"414",TRUE,FALSE
"415",TRUE,TRUE
"416",TRUE,FALSE
"417",TRUE,FALSE
"418",TRUE,FALSE
"419",TRUE,TRUE
"420",TRUE,FALSE
"421",TRUE,FALSE
"422",TRUE,FALSE
"423",TRUE,FALSE
"424",TRUE,FALSE
"425",TRUE,FALSE
"426",TRUE,FALSE
"427",TRUE,TRUE
"428",TRUE,FALSE
"429",TRUE,TRUE
"430",TRUE,FALSE
"431",TRUE,TRUE
"432",TRUE,FALSE
"433",TRUE,TRUE
"434",TRUE,TRUE
"435",TRUE,TRUE
"436",TRUE,TRUE
"437",TRUE,TRUE
"438",TRUE,FALSE
"439",TRUE,TRUE
"440",TRUE,FALSE
"441",TRUE,FALSE
"442",TRUE,FALSE
"443",TRUE,FALSE
"444",TRUE,FALSE
"445",TRUE,FALSE
"446",TRUE,TRUE
"447",TRUE,FALSE
"448",TRUE,FALSE
"449",TRUE,FALSE
"450",TRUE,FALSE
"451",TRUE,FALSE
"452",TRUE,FALSE
"453",TRUE,TRUE
"454",TRUE,FALSE
"455",TRUE,TRUE
"456",TRUE,FALSE
"457",TRUE,FALSE
"458",TRUE,FALSE
"459",TRUE,FALSE
"460",TRUE,FALSE
"461",TRUE,FALSE
"462",TRUE,TRUE
"463",TRUE,TRUE
"464",TRUE,FALSE
"465",TRUE,TRUE
"466",TRUE,FALSE
"467",TRUE,TRUE
"468",TRUE,FALSE
"469",TRUE,TRUE
"470",TRUE,FALSE
"471",TRUE,FALSE
"472",TRUE,FALSE
"473",TRUE,FALSE
"474",TRUE,FALSE
"475",TRUE,FALSE
"476",TRUE,FALSE
"477",TRUE,TRUE
"478",TRUE,TRUE
"479",TRUE,FALSE
"480",TRUE,FALSE
"481",TRUE,TRUE
"482",TRUE,TRUE
"483",TRUE,FALSE
"484",TRUE,FALSE
"485",TRUE,TRUE
"486",TRUE,FALSE
"487",TRUE,FALSE
"488",TRUE,FALSE
"489",TRUE,FALSE
"490",TRUE,FALSE
"491",TRUE,FALSE
"492",TRUE,TRUE
"493",TRUE,FALSE
"494",FALSE,TRUE
"495",TRUE,TRUE
"496",TRUE,TRUE
"497",TRUE,TRUE
"498",TRUE,TRUE
"499",TRUE,TRUE
"500",TRUE,TRUE
"501",TRUE,TRUE
"502",TRUE,TRUE
"503",TRUE,FALSE
"504",TRUE,TRUE
"505",TRUE,TRUE
"506",TRUE,TRUE
"507",TRUE,TRUE
"508",TRUE,TRUE
"509",TRUE,FALSE
"510",TRUE,FALSE
"511",TRUE,FALSE
"512",TRUE,TRUE
"513",TRUE,TRUE
"514",TRUE,TRUE
"515",TRUE,FALSE
"516",TRUE,TRUE
"517",TRUE,FALSE
"518",TRUE,TRUE
"519",TRUE,FALSE
"520",TRUE,FALSE
"521",TRUE,FALSE
"522",TRUE,FALSE
"523",TRUE,FALSE
"524",TRUE,FALSE
"525",TRUE,TRUE
"526",TRUE,TRUE
"527",TRUE,FALSE
"528",TRUE,FALSE
"529",TRUE,FALSE
"530",TRUE,FALSE
"531",TRUE,TRUE
"532",TRUE,TRUE
"533",TRUE,TRUE
"534",TRUE,FALSE
"535",TRUE,FALSE
"536",TRUE,TRUE
"537",TRUE,FALSE
"538",TRUE,FALSE
"539",TRUE,TRUE
"540",TRUE,TRUE
"541",TRUE,TRUE
"542",TRUE,FALSE
"543",TRUE,FALSE
"544",TRUE,FALSE
"545",TRUE,TRUE
"546",TRUE,FALSE
"547",TRUE,FALSE
"548",TRUE,FALSE
"549",TRUE,TRUE
"550",TRUE,FALSE
"551",TRUE,TRUE
"552",FALSE,TRUE
"553",TRUE,TRUE
"554",TRUE,FALSE
"555",TRUE,FALSE
"556",TRUE,FALSE
"557",TRUE,FALSE
"558",TRUE,FALSE
"559",TRUE,TRUE
"560",TRUE,FALSE
"561",TRUE,TRUE
"562",TRUE,TRUE
"563",TRUE,TRUE
"564",TRUE,TRUE
"565",TRUE,TRUE
"566",TRUE,TRUE
"567",TRUE,TRUE
"568",TRUE,FALSE
"569",TRUE,FALSE
"570",TRUE,FALSE
"571",TRUE,FALSE
"572",TRUE,FALSE
"573",TRUE,FALSE
"574",TRUE,FALSE
"575",TRUE,FALSE
"576",TRUE,FALSE
"577",TRUE,FALSE
"578",FALSE,TRUE
"579",TRUE,TRUE
"580",FALSE,TRUE
"581",TRUE,FALSE
"582",TRUE,FALSE
"583",TRUE,TRUE
"584",TRUE,FALSE
"585",TRUE,FALSE
"586",TRUE,TRUE
"587",TRUE,FALSE
"588",TRUE,FALSE
"589",TRUE,FALSE
"590",TRUE,FALSE
"591",TRUE,FALSE
"592",TRUE,FALSE
"593",TRUE,FALSE
"594",TRUE,FALSE
"595",TRUE,TRUE
"596",TRUE,FALSE
"597",TRUE,FALSE
"598",TRUE,FALSE
"599",TRUE,FALSE
"600",TRUE,FALSE
"601",TRUE,FALSE
"602",TRUE,FALSE
"603",TRUE,FALSE
"604",TRUE,FALSE
"605",TRUE,TRUE
"606",TRUE,TRUE
"607",TRUE,TRUE
"608",TRUE,FALSE
"609",TRUE,FALSE
"610",TRUE,FALSE
"611",TRUE,FALSE
"612",TRUE,FALSE
"613",TRUE,FALSE
"614",TRUE,TRUE
"615",TRUE,FALSE
"616",TRUE,FALSE
"617",TRUE,FALSE
"618",TRUE,TRUE
"619",TRUE,TRUE
"620",TRUE,TRUE
"621",FALSE,FALSE
"622",FALSE,FALSE
"623",FALSE,FALSE
"624",TRUE,FALSE
"625",TRUE,FALSE
"626",TRUE,FALSE
"627",TRUE,FALSE
"628",TRUE,FALSE
"629",TRUE,FALSE
"630",TRUE,TRUE
"631",TRUE,FALSE
"632",TRUE,TRUE
"633",TRUE,FALSE
"634",TRUE,FALSE
"635",TRUE,FALSE
"636",FALSE,TRUE
"637",TRUE,TRUE
"638",TRUE,TRUE
"639",TRUE,TRUE
"640",TRUE,TRUE
"641",TRUE,TRUE
"642",FALSE,FALSE
"643",FALSE,TRUE
"644",TRUE,FALSE
"645",FALSE,TRUE
"646",TRUE,TRUE
"647",TRUE,TRUE
"648",TRUE,FALSE
"649",TRUE,TRUE
"650",TRUE,TRUE
"651",FALSE,TRUE
"652",FALSE,TRUE
"653",TRUE,FALSE
"654",TRUE,TRUE
"655",TRUE,FALSE
"656",FALSE,TRUE
"657",TRUE,FALSE
"658",TRUE,TRUE
"659",FALSE,FALSE
"660",TRUE,TRUE
"661",FALSE,FALSE
"662",FALSE,TRUE
"663",FALSE,FALSE
"664",FALSE,FALSE
"665",TRUE,TRUE
"666",FALSE,FALSE
"667",FALSE,FALSE
"668",FALSE,FALSE
"669",TRUE,TRUE
"670",FALSE,FALSE
"671",FALSE,TRUE
"672",FALSE,TRUE
"673",FALSE,FALSE
"674",FALSE,FALSE
"675",FALSE,TRUE
"676",FALSE,FALSE
"677",FALSE,FALSE
"678",FALSE,FALSE
"679",FALSE,FALSE
"680",FALSE,FALSE
"681",FALSE,FALSE
"682",FALSE,FALSE
"683",FALSE,FALSE
"684",TRUE,FALSE
"685",TRUE,FALSE
"686",TRUE,FALSE
"687",FALSE,FALSE
"688",FALSE,FALSE
"689",FALSE,FALSE
"690",FALSE,FALSE
"691",FALSE,FALSE
"692",TRUE,TRUE
"693",TRUE,TRUE
"694",FALSE,FALSE
"695",FALSE,FALSE
"696",FALSE,FALSE
"697",TRUE,TRUE
"698",FALSE,FALSE
"699",TRUE,TRUE
"700",FALSE,FALSE
"701",FALSE,FALSE
"702",FALSE,TRUE
"703",TRUE,TRUE
"704",FALSE,FALSE
"705",FALSE,FALSE
"706",FALSE,FALSE
"707",FALSE,FALSE
"708",FALSE,FALSE
"709",FALSE,FALSE
"710",FALSE,FALSE
"711",FALSE,FALSE
"712",FALSE,FALSE
"713",FALSE,FALSE
"714",FALSE,FALSE
"715",FALSE,FALSE
"716",FALSE,FALSE
"717",FALSE,FALSE
"718",FALSE,FALSE
"719",TRUE,TRUE
"720",TRUE,TRUE
"721",FALSE,TRUE
"722",FALSE,TRUE
"723",TRUE,FALSE
"724",TRUE,TRUE
"725",TRUE,FALSE
"726",TRUE,TRUE
"727",TRUE,FALSE
"728",TRUE,FALSE
"729",TRUE,TRUE
"730",TRUE,TRUE
"731",TRUE,TRUE
"732",TRUE,FALSE
"733",TRUE,FALSE
"734",TRUE,TRUE
"735",TRUE,FALSE
"736",TRUE,FALSE
"737",TRUE,FALSE
"738",TRUE,FALSE
"739",TRUE,FALSE
"740",TRUE,FALSE
"741",TRUE,FALSE
"742",TRUE,FALSE
"743",TRUE,FALSE
"744",FALSE,TRUE
"745",TRUE,FALSE
"746",TRUE,FALSE
"747",TRUE,TRUE
"748",TRUE,FALSE
"749",TRUE,FALSE
"750",TRUE,TRUE
"751",TRUE,FALSE
"752",TRUE,FALSE
"753",TRUE,TRUE
"754",TRUE,FALSE
"755",TRUE,FALSE
"756",TRUE,FALSE
"757",TRUE,TRUE
"758",TRUE,TRUE
"759",TRUE,FALSE
"760",TRUE,FALSE
"761",TRUE,FALSE
"762",TRUE,FALSE
"763",TRUE,FALSE
"764",TRUE,FALSE
"765",TRUE,FALSE
"766",TRUE,TRUE
"767",TRUE,FALSE
"768",TRUE,FALSE
"769",TRUE,FALSE
"770",TRUE,TRUE
"771",TRUE,TRUE
"772",TRUE,FALSE
"773",TRUE,FALSE
"774",TRUE,FALSE
"775",TRUE,FALSE
"776",TRUE,FALSE
"777",TRUE,TRUE
"778",TRUE,FALSE
"779",TRUE,FALSE
"780",TRUE,TRUE
"781",TRUE,FALSE
"782",TRUE,TRUE
"783",TRUE,FALSE
"784",TRUE,TRUE
"785",TRUE,FALSE
"786",TRUE,FALSE
"787",TRUE,FALSE
"788",TRUE,FALSE
"789",TRUE,TRUE
"790",TRUE,FALSE
"791",TRUE,FALSE
"792",TRUE,FALSE
"793",TRUE,TRUE
"794",TRUE,FALSE
"795",TRUE,FALSE
"796",TRUE,TRUE
"797",TRUE,FALSE
"798",TRUE,TRUE
"799",TRUE,TRUE
"800",TRUE,TRUE
"801",TRUE,TRUE
"802",FALSE,TRUE
"803",TRUE,FALSE
"804",TRUE,FALSE
"805",TRUE,FALSE
"806",TRUE,FALSE
"807",TRUE,FALSE
"808",TRUE,FALSE
"809",TRUE,FALSE
"810",TRUE,FALSE
"811",FALSE,FALSE
"812",FALSE,FALSE
"813",TRUE,TRUE
"814",TRUE,FALSE
"815",TRUE,FALSE
"816",TRUE,FALSE
"817",TRUE,TRUE
"818",TRUE,FALSE
"819",FALSE,FALSE
"820",TRUE,FALSE
"821",TRUE,FALSE
"822",TRUE,FALSE
"823",TRUE,FALSE
"824",TRUE,FALSE
"825",TRUE,FALSE
"826",TRUE,TRUE
"827",FALSE,TRUE
"828",FALSE,TRUE
"829",FALSE,FALSE
"830",FALSE,FALSE
"831",FALSE,TRUE
"832",TRUE,TRUE
"833",TRUE,TRUE
"834",TRUE,FALSE
"835",TRUE,FALSE
"836",TRUE,FALSE
"837",TRUE,FALSE
"838",TRUE,TRUE
"839",TRUE,FALSE
"840",TRUE,TRUE
"841",TRUE,TRUE
"842",FALSE,TRUE
"843",FALSE,TRUE
"844",FALSE,FALSE
"845",TRUE,FALSE
"846",TRUE,FALSE
"847",TRUE,FALSE
"848",FALSE,FALSE
"849",FALSE,TRUE
"850",TRUE,FALSE
"851",TRUE,FALSE
"852",TRUE,FALSE
"853",TRUE,FALSE
"854",TRUE,TRUE
"855",TRUE,FALSE
"856",TRUE,FALSE
"857",TRUE,FALSE
"858",TRUE,TRUE
"859",TRUE,TRUE
"860",TRUE,TRUE
"861",TRUE,TRUE
"862",TRUE,TRUE
"863",TRUE,FALSE
"864",TRUE,TRUE
"865",TRUE,TRUE
"866",TRUE,TRUE
"867",TRUE,FALSE
"868",TRUE,TRUE
"869",FALSE,TRUE
"870",FALSE,TRUE
"871",TRUE,FALSE
"872",TRUE,TRUE
"873",TRUE,TRUE
"874",FALSE,FALSE
"875",FALSE,TRUE
"876",FALSE,TRUE
"877",TRUE,FALSE
"878",TRUE,TRUE
"879",TRUE,FALSE
"880",TRUE,FALSE
"881",TRUE,FALSE
"882",TRUE,FALSE
"883",TRUE,FALSE
"884",TRUE,FALSE
"885",TRUE,FALSE
"886",TRUE,TRUE
"887",TRUE,FALSE
"888",TRUE,FALSE
"889",TRUE,FALSE
"890",TRUE,TRUE
"891",TRUE,TRUE
"892",TRUE,FALSE
"893",TRUE,TRUE
"894",TRUE,TRUE
"895",TRUE,TRUE
"896",TRUE,FALSE
"897",TRUE,FALSE
"898",TRUE,FALSE
"899",TRUE,FALSE
"900",TRUE,TRUE
"901",TRUE,FALSE
"902",TRUE,TRUE
"903",TRUE,FALSE
"904",TRUE,FALSE
"905",TRUE,FALSE
"906",TRUE,TRUE
"907",TRUE,FALSE
"908",TRUE,TRUE
"909",TRUE,FALSE
"910",TRUE,FALSE
"911",TRUE,FALSE
"912",TRUE,FALSE
"913",TRUE,FALSE
"914",TRUE,FALSE
"915",TRUE,TRUE
"916",TRUE,FALSE
"917",TRUE,FALSE
"918",TRUE,FALSE
"919",TRUE,TRUE
"920",TRUE,FALSE
"921",TRUE,FALSE
"922",TRUE,FALSE
"923",TRUE,TRUE
"924",TRUE,TRUE
"925",TRUE,TRUE
"926",TRUE,TRUE
"927",TRUE,FALSE
"928",TRUE,TRUE
"929",TRUE,TRUE
"930",TRUE,FALSE
"931",TRUE,TRUE
"932",TRUE,FALSE
"933",TRUE,FALSE
"934",TRUE,TRUE
"935",TRUE,TRUE
"936",TRUE,TRUE
"937",TRUE,TRUE
"938",TRUE,TRUE
"939",TRUE,FALSE
"940",TRUE,FALSE
"941",TRUE,FALSE
"942",TRUE,FALSE
"943",TRUE,TRUE
"944",TRUE,TRUE
"945",TRUE,FALSE
"946",TRUE,TRUE
"947",TRUE,TRUE
"948",TRUE,TRUE
"949",TRUE,FALSE
"950",TRUE,TRUE
"951",TRUE,TRUE
"952",TRUE,FALSE
"953",TRUE,FALSE
"954",TRUE,FALSE
"955",TRUE,FALSE
"956",TRUE,FALSE
"957",TRUE,FALSE
"958",TRUE,FALSE
"959",TRUE,FALSE
"960",TRUE,FALSE
"961",TRUE,TRUE
"962",TRUE,TRUE
"963",TRUE,FALSE
"964",TRUE,FALSE
"965",TRUE,TRUE
"966",TRUE,TRUE
"967",TRUE,TRUE
"968",TRUE,FALSE
"969",TRUE,TRUE
"970",TRUE,TRUE
"971",TRUE,TRUE
"972",TRUE,TRUE
"973",TRUE,FALSE
"974",TRUE,FALSE
"975",TRUE,FALSE
"976",TRUE,FALSE
"977",TRUE,FALSE
"978",TRUE,TRUE
"979",TRUE,TRUE
"980",TRUE,TRUE
"981",TRUE,FALSE
"982",TRUE,TRUE
"983",TRUE,TRUE
"984",TRUE,FALSE
"985",TRUE,TRUE
"986",TRUE,TRUE
"987",TRUE,FALSE
"988",TRUE,FALSE
"989",TRUE,TRUE
"990",TRUE,FALSE
"991",TRUE,FALSE
"992",TRUE,FALSE
"993",TRUE,FALSE
"994",TRUE,FALSE
"995",TRUE,FALSE
"996",TRUE,TRUE
"997",TRUE,TRUE
"998",TRUE,FALSE
"999",TRUE,FALSE
"1000",TRUE,FALSE
"1001",TRUE,TRUE
"1002",TRUE,FALSE
"1003",TRUE,FALSE
"1004",TRUE,FALSE
"1005",FALSE,TRUE
"1006",TRUE,FALSE
"1007",TRUE,FALSE
"1008",TRUE,FALSE
"1009",TRUE,FALSE
"1010",TRUE,FALSE
"1011",TRUE,TRUE
"1012",TRUE,FALSE
"1013",TRUE,TRUE
"1014",TRUE,FALSE
"1015",TRUE,FALSE
"1016",TRUE,FALSE
"1017",TRUE,FALSE
"1018",TRUE,FALSE
"1019",TRUE,FALSE
"1020",TRUE,FALSE
"1021",TRUE,FALSE
"1022",TRUE,FALSE
"1023",TRUE,FALSE
"1024",TRUE,FALSE
"1025",TRUE,FALSE
"1026",TRUE,FALSE
"1027",TRUE,TRUE
"1028",TRUE,FALSE
"1029",TRUE,TRUE
"1030",TRUE,FALSE
"1031",TRUE,TRUE
"1032",TRUE,FALSE
"1033",FALSE,TRUE
"1034",TRUE,TRUE
"1035",TRUE,FALSE
"1036",TRUE,TRUE
"1037",TRUE,FALSE
"1038",TRUE,FALSE
"1039",TRUE,FALSE
"1040",TRUE,FALSE
"1041",TRUE,TRUE
"1042",TRUE,TRUE
"1043",TRUE,TRUE
"1044",TRUE,TRUE
"1045",TRUE,FALSE
"1046",TRUE,TRUE
"1047",TRUE,TRUE
"1048",FALSE,TRUE
"1049",TRUE,TRUE
"1050",TRUE,TRUE
"1051",TRUE,TRUE
"1052",TRUE,TRUE
"1053",FALSE,TRUE
"1054",FALSE,FALSE
"1055",FALSE,TRUE
"1056",TRUE,TRUE
"1057",TRUE,TRUE
"1058",TRUE,FALSE
"1059",TRUE,FALSE
"1060",TRUE,TRUE
"1061",TRUE,FALSE
"1062",TRUE,TRUE
"1063",TRUE,FALSE
"1064",TRUE,TRUE
"1065",TRUE,TRUE
"1066",TRUE,TRUE
"1067",TRUE,FALSE
"1068",TRUE,TRUE
