#Gene-ID,Chr,Strand,Start,End,Count,Length,RPKM,#-exons,#-expr-exons(>10 reads),Transcripts
SYNPCC7002_A0033,Synechococcus_chromo_NC_010475,-,29424,30743,679,1319,66.86,1,1,SYNPCC7002_A0033
SYNPCC7002_A0034,Synechococcus_chromo_NC_010475,-,30885,31730,617,845,94.84,1,1,SYNPCC7002_A0034
SYNPCC7002_A0035,Synechococcus_chromo_NC_010475,-,31804,33420,1224,1616,98.38,1,1,SYNPCC7002_A0035
SYNPCC7002_A0036,Synechococcus_chromo_NC_010475,-,33504,34478,150,974,20,1,1,SYNPCC7002_A0036
SYNPCC7002_A0037,Synechococcus_chromo_NC_010475,+,34718,35728,289,1010,37.16,1,1,SYNPCC7002_A0037
SYNPCC7002_A0038,Synechococcus_chromo_NC_010475,+,35772,36683,697,911,99.37,1,1,SYNPCC7002_A0038
SYNPCC7002_A0039,Synechococcus_chromo_NC_010475,+,36701,37603,178,902,25.63,1,1,SYNPCC7002_A0039
SYNPCC7002_A0040,Synechococcus_chromo_NC_010475,-,38116,39978,6376,1862,444.76,1,1,SYNPCC7002_A0040
SYNPCC7002_A0041,Synechococcus_chromo_NC_010475,-,40120,45915,1985,5795,44.49,1,1,SYNPCC7002_A0041
SYNPCC7002_A0042,Synechococcus_chromo_NC_010475,-,46222,46605,228,383,77.32,1,1,SYNPCC7002_A0042
SYNPCC7002_A0043,Synechococcus_chromo_NC_010475,+,46832,48373,327,1541,27.56,1,1,SYNPCC7002_A0043
SYNPCC7002_A0044,Synechococcus_chromo_NC_010475,-,48397,49074,71,677,13.62,1,1,SYNPCC7002_A0044
SYNPCC7002_A0045,Synechococcus_chromo_NC_010475,+,49554,50762,6010,1208,646.19,1,1,SYNPCC7002_A0045
SYNPCC7002_A0046,Synechococcus_chromo_NC_010475,+,50845,51207,1595,362,572.27,1,1,SYNPCC7002_A0046
SYNPCC7002_A0047,Synechococcus_chromo_NC_010475,+,51282,51773,1138,491,301.03,1,1,SYNPCC7002_A0047
SYNPCC7002_A0048,Synechococcus_chromo_NC_010475,+,51791,56263,6991,4472,203.04,1,1,SYNPCC7002_A0048
SYNPCC7002_A0049,Synechococcus_chromo_NC_010475,+,56378,59512,3890,3134,161.21,1,1,SYNPCC7002_A0049
SYNPCC7002_A0050,Synechococcus_chromo_NC_010475,-,59525,60178,528,653,105.02,1,1,SYNPCC7002_A0050
SYNPCC7002_A0051,Synechococcus_chromo_NC_010475,-,60296,60643,1103,347,412.86,1,1,SYNPCC7002_A0051
SYNPCC7002_A0052,Synechococcus_chromo_NC_010475,-,60707,61204,717,497,187.38,1,1,SYNPCC7002_A0052
SYNPCC7002_A0053,Synechococcus_chromo_NC_010475,-,61290,61847,1364,557,318.06,1,1,SYNPCC7002_A0053
SYNPCC7002_A0054,Synechococcus_chromo_NC_010475,-,61952,62608,67,656,13.27,1,1,SYNPCC7002_A0054
SYNPCC7002_A0055,Synechococcus_chromo_NC_010475,-,62605,63024,53,419,16.43,1,1,SYNPCC7002_A0055
SYNPCC7002_A0056,Synechococcus_chromo_NC_010475,-,63031,63270,40,239,21.74,1,1,SYNPCC7002_A0056
SYNPCC7002_A0057,Synechococcus_chromo_NC_010475,-,63367,64278,2379,911,339.18,1,1,SYNPCC7002_A0057
SYNPCC7002_A0058,Synechococcus_chromo_NC_010475,-,64484,65443,2279,959,308.66,1,1,SYNPCC7002_A0058
SYNPCC7002_A0059,Synechococcus_chromo_NC_010475,-,65470,65679,629,209,390.89,1,1,SYNPCC7002_A0059
SYNPCC7002_A0060,Synechococcus_chromo_NC_010475,+,65831,66229,39,398,12.73,1,1,SYNPCC7002_A0060
SYNPCC7002_A0061,Synechococcus_chromo_NC_010475,-,66337,67056,281,719,50.76,1,1,SYNPCC7002_A0061
SYNPCC7002_A0062,Synechococcus_chromo_NC_010475,+,67095,67652,127,557,29.61,1,1,SYNPCC7002_A0062
SYNPCC7002_A0063,Synechococcus_chromo_NC_010475,+,67696,70698,628,3002,27.17,1,1,SYNPCC7002_A0063
SYNPCC7002_A0064,Synechococcus_chromo_NC_010475,+,70861,72312,495,1451,44.31,1,1,SYNPCC7002_A0064
SYNPCC7002_A0065,Synechococcus_chromo_NC_010475,-,72394,72648,83,254,42.44,1,1,SYNPCC7002_A0065
SYNPCC7002_A0066,Synechococcus_chromo_NC_010475,+,72686,74116,419,1430,38.06,1,1,SYNPCC7002_A0066
SYNPCC7002_A0067,Synechococcus_chromo_NC_010475,+,74161,74340,170,179,123.35,1,1,SYNPCC7002_A0067
SYNPCC7002_A0068,Synechococcus_chromo_NC_010475,-,74343,75515,228,1172,25.27,1,1,SYNPCC7002_A0068
SYNPCC7002_A0069,Synechococcus_chromo_NC_010475,-,75522,76319,180,797,29.33,1,1,SYNPCC7002_A0069
SYNPCC7002_A0070,Synechococcus_chromo_NC_010475,-,76369,76836,107,467,29.76,1,1,SYNPCC7002_A0070
SYNPCC7002_A0071,Synechococcus_chromo_NC_010475,-,76972,77229,84,257,42.45,1,1,SYNPCC7002_A0071
SYNPCC7002_A0072,Synechococcus_chromo_NC_010475,-,77289,78125,102,836,15.85,1,1,SYNPCC7002_A0072
SYNPCC7002_A0073,Synechococcus_chromo_NC_010475,-,78306,79598,932,1292,93.69,1,1,SYNPCC7002_A0073
SYNPCC7002_A0074,Synechococcus_chromo_NC_010475,+,79979,80374,167,395,54.91,1,1,SYNPCC7002_A0074
SYNPCC7002_A0075,Synechococcus_chromo_NC_010475,+,80380,81978,735,1598,59.74,1,1,SYNPCC7002_A0075
SYNPCC7002_A0076,Synechococcus_chromo_NC_010475,+,82165,82413,247,248,129.36,1,1,SYNPCC7002_A0076
SYNPCC7002_A0077,Synechococcus_chromo_NC_010475,+,82481,82723,277,242,148.67,1,1,SYNPCC7002_A0077
SYNPCC7002_A0078,Synechococcus_chromo_NC_010475,-,82844,83233,1042,389,347.91,1,1,SYNPCC7002_A0078
SYNPCC7002_A0079,Synechococcus_chromo_NC_010475,-,83336,83683,287,347,107.42,1,1,SYNPCC7002_A0079
SYNPCC7002_A0080,Synechococcus_chromo_NC_010475,-,83787,84586,71,799,11.54,1,1,SYNPCC7002_A0080
SYNPCC7002_A0081,Synechococcus_chromo_NC_010475,-,84600,84794,120,194,80.34,1,1,SYNPCC7002_A0081
SYNPCC7002_A0082,Synechococcus_chromo_NC_010475,-,84870,85562,573,692,107.55,1,1,SYNPCC7002_A0082
SYNPCC7002_A0083,Synechococcus_chromo_NC_010475,-,85586,86875,1019,1289,102.68,1,1,SYNPCC7002_A0083
SYNPCC7002_A0084,Synechococcus_chromo_NC_010475,+,86991,87764,63,773,10.59,1,1,SYNPCC7002_A0084
SYNPCC7002_A0085,Synechococcus_chromo_NC_010475,+,87845,88510,45,665,8.79,1,1,SYNPCC7002_A0085
SYNPCC7002_A0086,Synechococcus_chromo_NC_010475,-,88528,89505,143,977,19.01,1,1,SYNPCC7002_A0086
SYNPCC7002_A0087,Synechococcus_chromo_NC_010475,+,89652,90917,253,1265,25.98,1,1,SYNPCC7002_A0087
SYNPCC7002_A0088,Synechococcus_chromo_NC_010475,+,90933,91235,24,302,10.32,1,1,SYNPCC7002_A0088
SYNPCC7002_A0089,Synechococcus_chromo_NC_010475,+,91267,91764,231,497,60.37,1,1,SYNPCC7002_A0089
SYNPCC7002_A0090,Synechococcus_chromo_NC_010475,+,91804,92343,223,539,53.74,1,1,SYNPCC7002_A0090
SYNPCC7002_A0091,Synechococcus_chromo_NC_010475,-,92387,93304,352,917,49.86,1,1,SYNPCC7002_A0091
SYNPCC7002_A0092,Synechococcus_chromo_NC_010475,-,93327,94130,333,803,53.86,1,1,SYNPCC7002_A0092
SYNPCC7002_A0093,Synechococcus_chromo_NC_010475,-,94161,94553,525,392,173.95,1,1,SYNPCC7002_A0093
SYNPCC7002_A0094,Synechococcus_chromo_NC_010475,-,94538,95278,235,740,41.25,1,1,SYNPCC7002_A0094
SYNPCC7002_A0095,Synechococcus_chromo_NC_010475,+,95582,96871,5534,1289,557.62,1,1,SYNPCC7002_A0095
SYNPCC7002_A0096,Synechococcus_chromo_NC_010475,-,96991,97545,68,554,15.94,1,1,SYNPCC7002_A0096
SYNPCC7002_A0097,Synechococcus_chromo_NC_010475,+,98194,99582,1040,1388,97.32,1,1,SYNPCC7002_A0097
SYNPCC7002_A0098,Synechococcus_chromo_NC_010475,+,99746,100627,593,881,87.42,1,1,SYNPCC7002_A0098
SYNPCC7002_A0099,Synechococcus_chromo_NC_010475,+,100643,101380,266,737,46.88,1,1,SYNPCC7002_A0099
SYNPCC7002_A0100,Synechococcus_chromo_NC_010475,+,101517,101590,53375,73,94965.85,1,1,SYNPCC7002_A0100
SYNPCC7002_A0101,Synechococcus_chromo_NC_010475,+,101724,103730,1216,2006,78.73,1,1,SYNPCC7002_A0101
SYNPCC7002_A0102,Synechococcus_chromo_NC_010475,-,103727,103864,113,137,107.13,1,1,SYNPCC7002_A0102
SYNPCC7002_A0103,Synechococcus_chromo_NC_010475,-,103895,104227,555,332,217.12,1,1,SYNPCC7002_A0103
SYNPCC7002_A0104,Synechococcus_chromo_NC_010475,-,104356,105300,768,944,105.67,1,1,SYNPCC7002_A0104
SYNPCC7002_A0105,Synechococcus_chromo_NC_010475,-,105340,106806,1119,1466,99.14,1,1,SYNPCC7002_A0105
SYNPCC7002_A0106,Synechococcus_chromo_NC_010475,+,107108,108124,8668,1016,1108.1,1,1,SYNPCC7002_A0106
SYNPCC7002_A0107,Synechococcus_chromo_NC_010475,-,108257,108601,161,344,60.79,1,1,SYNPCC7002_A0107
SYNPCC7002_A0108,Synechococcus_chromo_NC_010475,-,108852,109724,166,872,24.73,1,1,SYNPCC7002_A0108
SYNPCC7002_A0109,Synechococcus_chromo_NC_010475,+,109795,110373,256,578,57.53,1,1,SYNPCC7002_A0109
SYNPCC7002_A0110,Synechococcus_chromo_NC_010475,+,110430,111740,2583,1310,256.1,1,1,SYNPCC7002_A0110
SYNPCC7002_A0111,Synechococcus_chromo_NC_010475,+,111795,111911,10,116,11.2,1,0,SYNPCC7002_A0111
SYNPCC7002_A0112,Synechococcus_chromo_NC_010475,-,111950,112462,8403,512,2131.65,1,1,SYNPCC7002_A0112
SYNPCC7002_A0113,Synechococcus_chromo_NC_010475,-,112709,113413,28,704,5.17,1,1,SYNPCC7002_A0113
SYNPCC7002_A0114,Synechococcus_chromo_NC_010475,+,113548,114129,190,581,42.47,1,1,SYNPCC7002_A0114
SYNPCC7002_A0115,Synechococcus_chromo_NC_010475,+,114276,116504,1580,2228,92.11,1,1,SYNPCC7002_A0115
SYNPCC7002_A0116,Synechococcus_chromo_NC_010475,-,116526,117704,94,1178,10.36,1,1,SYNPCC7002_A0116
SYNPCC7002_A0117,Synechococcus_chromo_NC_010475,+,118054,118548,1958,494,514.8,1,1,SYNPCC7002_A0117
SYNPCC7002_A0118,Synechococcus_chromo_NC_010475,-,118649,119449,352,800,57.15,1,1,SYNPCC7002_A0118
SYNPCC7002_A0119,Synechococcus_chromo_NC_010475,+,119567,119926,329,359,119.03,1,1,SYNPCC7002_A0119
SYNPCC7002_A0120,Synechococcus_chromo_NC_010475,-,120060,121814,720,1754,53.32,1,1,SYNPCC7002_A0120
SYNPCC7002_A0121,Synechococcus_chromo_NC_010475,-,121880,123379,631,1499,54.67,1,1,SYNPCC7002_A0121
SYNPCC7002_A0122,Synechococcus_chromo_NC_010475,-,123484,124035,165,551,38.89,1,1,SYNPCC7002_A0122
SYNPCC7002_A0123,Synechococcus_chromo_NC_010475,+,124239,125600,425,1361,40.56,1,1,SYNPCC7002_A0123
SYNPCC7002_A0124,Synechococcus_chromo_NC_010475,+,125648,126877,197,1229,20.82,1,1,SYNPCC7002_A0124
SYNPCC7002_A0125,Synechococcus_chromo_NC_010475,-,126983,127825,160,842,24.68,1,1,SYNPCC7002_A0125
SYNPCC7002_A0126,Synechococcus_chromo_NC_010475,-,128441,129100,130,659,25.62,1,1,SYNPCC7002_A0126
SYNPCC7002_A0127,Synechococcus_chromo_NC_010475,-,129138,129524,34,386,11.44,1,1,SYNPCC7002_A0127
SYNPCC7002_A0128,Synechococcus_chromo_NC_010475,-,129535,129978,41,443,12.02,1,1,SYNPCC7002_A0128
SYNPCC7002_A0129,Synechococcus_chromo_NC_010475,+,130195,130581,2578,386,867.46,1,1,SYNPCC7002_A0129
SYNPCC7002_A0130,Synechococcus_chromo_NC_010475,-,130653,131291,41,638,8.35,1,1,SYNPCC7002_A0130
SYNPCC7002_A0131,Synechococcus_chromo_NC_010475,-,131288,131704,106,416,33.1,1,1,SYNPCC7002_A0131
SYNPCC7002_A0132,Synechococcus_chromo_NC_010475,-,131704,131988,263,284,120.28,1,1,SYNPCC7002_A0132
SYNPCC7002_A0133,Synechococcus_chromo_NC_010475,+,132167,133045,138,878,20.41,1,1,SYNPCC7002_A0133
SYNPCC7002_A0134,Synechococcus_chromo_NC_010475,-,133052,134653,148,1601,12.01,1,1,SYNPCC7002_A0134
SYNPCC7002_A0135,Synechococcus_chromo_NC_010475,+,134875,135063,1369,188,945.8,1,1,SYNPCC7002_A0135
SYNPCC7002_A0136,Synechococcus_chromo_NC_010475,+,135206,135682,314,476,85.68,1,1,SYNPCC7002_A0136
SYNPCC7002_A0137,Synechococcus_chromo_NC_010475,+,135782,135853,16561,71,30295.67,1,1,SYNPCC7002_A0137
SYNPCC7002_A0138,Synechococcus_chromo_NC_010475,+,136031,138442,2185,2411,117.71,1,1,SYNPCC7002_A0138
SYNPCC7002_A0139,Synechococcus_chromo_NC_010475,-,138439,139122,107,683,20.35,1,1,SYNPCC7002_A0139
SYNPCC7002_A0140,Synechococcus_chromo_NC_010475,-,139328,139741,5315,413,1671.5,1,1,SYNPCC7002_A0140
SYNPCC7002_A0141,Synechococcus_chromo_NC_010475,-,139947,142412,11272,2465,593.93,1,1,SYNPCC7002_A0141
SYNPCC7002_A0142,Synechococcus_chromo_NC_010475,-,142542,142913,100,371,35.01,1,1,SYNPCC7002_A0142
SYNPCC7002_A0143,Synechococcus_chromo_NC_010475,-,142940,143542,194,602,41.86,1,1,SYNPCC7002_A0143
SYNPCC7002_A0144,Synechococcus_chromo_NC_010475,+,143821,145422,347,1601,28.15,1,1,SYNPCC7002_A0144
SYNPCC7002_A0145,Synechococcus_chromo_NC_010475,+,145445,146026,92,581,20.57,1,1,SYNPCC7002_A0145
SYNPCC7002_A0146,Synechococcus_chromo_NC_010475,+,146077,147843,291,1766,21.4,1,1,SYNPCC7002_A0146
SYNPCC7002_A0147,Synechococcus_chromo_NC_010475,+,148056,149723,1651,1667,128.64,1,1,SYNPCC7002_A0147
SYNPCC7002_A0148,Synechococcus_chromo_NC_010475,-,149816,153046,723,3230,29.07,1,1,SYNPCC7002_A0148
SYNPCC7002_A0149,Synechococcus_chromo_NC_010475,-,153399,154799,32,1400,2.97,1,1,SYNPCC7002_A0149
SYNPCC7002_A0150,Synechococcus_chromo_NC_010475,-,154890,156881,38,1991,2.48,1,1,SYNPCC7002_A0150
SYNPCC7002_A0151,Synechococcus_chromo_NC_010475,-,156915,158501,1544,1586,126.44,1,1,SYNPCC7002_A0151
SYNPCC7002_A0152,Synechococcus_chromo_NC_010475,+,158726,159169,39,443,11.43,1,1,SYNPCC7002_A0152
SYNPCC7002_A0153,Synechococcus_chromo_NC_010475,+,159222,159494,541,272,258.33,1,1,SYNPCC7002_A0153
SYNPCC7002_A0154,Synechococcus_chromo_NC_010475,+,159599,160267,267,668,51.91,1,1,SYNPCC7002_A0154
SYNPCC7002_A0155,Synechococcus_chromo_NC_010475,+,160274,160702,98,428,29.74,1,1,SYNPCC7002_A0155
SYNPCC7002_A0156,Synechococcus_chromo_NC_010475,+,160764,161612,224,848,34.31,1,1,SYNPCC7002_A0156
SYNPCC7002_A0157,Synechococcus_chromo_NC_010475,-,161801,162883,9114,1082,1094.04,1,1,SYNPCC7002_A0157
SYNPCC7002_A0158,Synechococcus_chromo_NC_010475,-,163051,165204,233,2153,14.06,1,1,SYNPCC7002_A0158
SYNPCC7002_A0159,Synechococcus_chromo_NC_010475,-,165337,166389,712,1052,87.91,1,1,SYNPCC7002_A0159
SYNPCC7002_A0160,Synechococcus_chromo_NC_010475,+,166576,167043,372,467,103.46,1,1,SYNPCC7002_A0160
SYNPCC7002_A0161,Synechococcus_chromo_NC_010475,+,167146,167700,136,554,31.88,1,1,SYNPCC7002_A0161
SYNPCC7002_A0162,Synechococcus_chromo_NC_010475,-,167725,168822,570,1097,67.49,1,1,SYNPCC7002_A0162
SYNPCC7002_A0163,Synechococcus_chromo_NC_010475,-,169007,169735,1340,728,239.07,1,1,SYNPCC7002_A0163
SYNPCC7002_A0164,Synechococcus_chromo_NC_010475,-,169701,170243,1287,542,308.41,1,1,SYNPCC7002_A0164
SYNPCC7002_A0165,Synechococcus_chromo_NC_010475,+,170514,171947,956,1433,86.65,1,1,SYNPCC7002_A0165
SYNPCC7002_A0166,Synechococcus_chromo_NC_010475,-,172027,173013,216,986,28.45,1,1,SYNPCC7002_A0166
SYNPCC7002_A0167,Synechococcus_chromo_NC_010475,+,173166,173519,9043,353,3327.29,1,1,SYNPCC7002_A0167
SYNPCC7002_A0168,Synechococcus_chromo_NC_010475,-,173717,175018,839,1301,83.76,1,1,SYNPCC7002_A0168
SYNPCC7002_A0169,Synechococcus_chromo_NC_010475,+,175339,176679,281,1340,27.24,1,1,SYNPCC7002_A0169
SYNPCC7002_A0170,Synechococcus_chromo_NC_010475,-,176689,178056,169,1367,16.06,1,1,SYNPCC7002_A0170
SYNPCC7002_A0171,Synechococcus_chromo_NC_010475,+,178297,179232,5881,935,816.94,1,1,SYNPCC7002_A0171
SYNPCC7002_A0172,Synechococcus_chromo_NC_010475,+,179360,181210,6306,1850,442.73,1,1,SYNPCC7002_A0172
SYNPCC7002_A0173,Synechococcus_chromo_NC_010475,+,181266,182762,4509,1496,391.47,1,1,SYNPCC7002_A0173
SYNPCC7002_A0174,Synechococcus_chromo_NC_010475,+,182822,184105,5779,1283,585.03,1,1,SYNPCC7002_A0174
SYNPCC7002_A0175,Synechococcus_chromo_NC_010475,+,184149,184550,5495,401,1779.82,1,1,SYNPCC7002_A0175
SYNPCC7002_A0176,Synechococcus_chromo_NC_010475,-,184632,185429,261,797,42.53,1,1,SYNPCC7002_A0176
SYNPCC7002_A0177,Synechococcus_chromo_NC_010475,-,185482,186630,1229,1148,139.05,1,1,SYNPCC7002_A0177
SYNPCC7002_A0178,Synechococcus_chromo_NC_010475,-,186735,189380,397,2645,19.49,1,1,SYNPCC7002_A0178
SYNPCC7002_A0179,Synechococcus_chromo_NC_010475,-,189484,189744,35,260,17.48,1,1,SYNPCC7002_A0179
SYNPCC7002_A0180,Synechococcus_chromo_NC_010475,-,190266,190802,497,536,120.43,1,1,SYNPCC7002_A0180
SYNPCC7002_A0181,Synechococcus_chromo_NC_010475,+,190898,192481,214,1583,17.56,1,1,SYNPCC7002_A0181
SYNPCC7002_A0182,Synechococcus_chromo_NC_010475,-,192526,192598,1155,72,2083.54,1,1,SYNPCC7002_A0182
SYNPCC7002_A0183,Synechococcus_chromo_NC_010475,-,192659,193855,216,1196,23.46,1,1,SYNPCC7002_A0183
SYNPCC7002_A0184,Synechococcus_chromo_NC_010475,-,194043,194387,1433,344,541.05,1,1,SYNPCC7002_A0184
SYNPCC7002_A0185,Synechococcus_chromo_NC_010475,-,194659,194922,40,263,19.75,1,1,SYNPCC7002_A0185
SYNPCC7002_A0186,Synechococcus_chromo_NC_010475,-,195013,195150,2930,137,2777.79,1,1,SYNPCC7002_A0186
SYNPCC7002_A0187,Synechococcus_chromo_NC_010475,-,195386,196330,2029,944,279.17,1,1,SYNPCC7002_A0187
SYNPCC7002_A0188,Synechococcus_chromo_NC_010475,+,196729,197808,545,1079,65.6,1,1,SYNPCC7002_A0188
SYNPCC7002_A0189,Synechococcus_chromo_NC_010475,+,197858,199324,284,1466,25.16,1,1,SYNPCC7002_A0189
SYNPCC7002_A0190,Synechococcus_chromo_NC_010475,+,199400,200866,323,1466,28.62,1,1,SYNPCC7002_A0190
SYNPCC7002_A0191,Synechococcus_chromo_NC_010475,-,200876,202201,1907,1325,186.93,1,1,SYNPCC7002_A0191
SYNPCC7002_A0192,Synechococcus_chromo_NC_010475,-,202330,202908,372,578,83.59,1,1,SYNPCC7002_A0192
SYNPCC7002_A0193,Synechococcus_chromo_NC_010475,-,203001,204710,734,1709,55.78,1,1,SYNPCC7002_A0193
SYNPCC7002_A0194,Synechococcus_chromo_NC_010475,+,204923,205969,540,1046,67.05,1,1,SYNPCC7002_A0194
SYNPCC7002_A0195,Synechococcus_chromo_NC_010475,+,206263,206754,804,491,212.68,1,1,SYNPCC7002_A0195
SYNPCC7002_A0196,Synechococcus_chromo_NC_010475,+,206812,208416,577,1604,46.72,1,1,SYNPCC7002_A0196
SYNPCC7002_A0197,Synechococcus_chromo_NC_010475,+,208477,209193,191,716,34.65,1,1,SYNPCC7002_A0197
SYNPCC7002_A0198,Synechococcus_chromo_NC_010475,+,209193,209759,265,566,60.81,1,1,SYNPCC7002_A0198
SYNPCC7002_A0199,Synechococcus_chromo_NC_010475,+,209783,210409,390,626,80.92,1,1,SYNPCC7002_A0199
SYNPCC7002_A0200,Synechococcus_chromo_NC_010475,+,210491,211915,724,1424,66.04,1,1,SYNPCC7002_A0200
SYNPCC7002_A0201,Synechococcus_chromo_NC_010475,+,211915,212346,227,431,68.41,1,1,SYNPCC7002_A0201
SYNPCC7002_A0202,Synechococcus_chromo_NC_010475,+,212334,212675,61,341,23.23,1,1,SYNPCC7002_A0202
SYNPCC7002_A0203,Synechococcus_chromo_NC_010475,+,212679,213500,231,821,36.54,1,1,SYNPCC7002_A0203
SYNPCC7002_A0204,Synechococcus_chromo_NC_010475,+,213526,215802,530,2276,30.25,1,1,SYNPCC7002_A0204
SYNPCC7002_A0205,Synechococcus_chromo_NC_010475,+,215936,216175,116,239,63.04,1,1,SYNPCC7002_A0205
SYNPCC7002_A0206,Synechococcus_chromo_NC_010475,+,216179,217264,258,1085,30.88,1,1,SYNPCC7002_A0206
SYNPCC7002_A0207,Synechococcus_chromo_NC_010475,-,217301,217693,98,392,32.47,1,1,SYNPCC7002_A0207
SYNPCC7002_A0208,Synechococcus_chromo_NC_010475,-,217709,218056,89,347,33.31,1,1,SYNPCC7002_A0208
SYNPCC7002_A0209,Synechococcus_chromo_NC_010475,+,218123,218578,13,455,3.71,1,1,SYNPCC7002_A0209
SYNPCC7002_A0210,Synechococcus_chromo_NC_010475,+,218881,219849,8218,968,1102.66,1,1,SYNPCC7002_A0210
SYNPCC7002_A0211,Synechococcus_chromo_NC_010475,-,220212,220688,260,476,70.94,1,1,SYNPCC7002_A0211
SYNPCC7002_A0212,Synechococcus_chromo_NC_010475,+,220861,221964,2251,1103,265.07,1,1,SYNPCC7002_A0212
SYNPCC7002_A0213,Synechococcus_chromo_NC_010475,+,222176,223498,1476,1322,145.01,1,1,SYNPCC7002_A0213
SYNPCC7002_A0214,Synechococcus_chromo_NC_010475,+,223707,226757,901,3050,38.37,1,1,SYNPCC7002_A0214
SYNPCC7002_A0215,Synechococcus_chromo_NC_010475,-,226834,227493,470,659,92.63,1,1,SYNPCC7002_A0215
SYNPCC7002_A0216,Synechococcus_chromo_NC_010475,+,227648,228634,761,986,100.24,1,1,SYNPCC7002_A0216
SYNPCC7002_A0217,Synechococcus_chromo_NC_010475,+,228807,229748,1080,941,149.07,1,1,SYNPCC7002_A0217
