W3181,,Genome count,PMID,Product Descriptor,GENE,Alias,Role,Regulated by,Essentiality Class in MR-1,FIG Function,FIG Subsystem,CAZY,family,Merops family,cofactor (organic),cofactor (inorganic,substrate,Transport Family,EC NUMBER,evolution,Genome count,Localization,Group ID
W3181_0011,,22,,tRNA 2-thiouridine synthesizing protein TusA,tusA,,,,Unknown,tRNA 5-methylaminomethyl-2-thiouridine synthase TusA,,,,,,,,,2.8.1.-,core,1,cyt,Shw00019
W3181_0012,,22,,aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA,fadA,,FA oxidation I,,Dispensable,3-ketoacyl-CoA thiolase (EC 2.3.1.16) & Acetyl-CoA acetyltransferase (EC 2.3.1.9),Acetyl-CoA fermentation to Butyrate; <br>Biotin biosynthesis; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>CBSS-246196.1.peg.364; <br>Isoleucine degradation; <br>Isoprenoid Biosynthesis; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>Serine-glyoxylate cycle; <br>Serine-glyoxylate cycle,,,,,,,,2.3.1.16,core,1,cyt,Shw00020
W3181_0013,,22,,aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB,fadB,,FA oxidation I,,Dispensable,Enoyl-CoA hydratase (EC 4.2.1.17) / Delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase (EC 5.3.3.8) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3),Acetyl-CoA fermentation to Butyrate; <br>Acetyl-CoA fermentation to Butyrate; <br>Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>Butyrate metabolism cluster; <br>Isoleucine degradation; <br>Isoleucine degradation; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>Valine degradation; <br>Valine degradation,,,,NAD,,,,"4.2.1.17, 5.3.3.8, 1.1.1.35, 5.1.2.3",core,1,cyt,Shw00021
W3181_0014,,22,,Xaa-Pro dipeptidase PepQ,pepQ,,peptidase,,Dispensable,Xaa-Pro dipeptidase PepQ (EC 3.4.13.9),Cluster co-expressed with butyrate metabolism cluster; <br>Dipeptidases (EC 3.4.13.-),,,M24B,,,,,3.4.13.9,core,1,cyt,Shw00022
W3181_0015,,22,,potassium uptake associated protein YigZ,yigZ,,CPO analysis,,Dispensable,FIG000605: protein co-occurring with transport systems (COG1739),CPO analysis; <br>Cluster co-expressed with butyrate metabolism cluster,,,,,,,,,core,1,cyt,Shw00023
W3181_0016,,22,,potassium uptake transporter TrkH,trkH,,Transport - potassium Transport | uptake,,Dispensable,Potassium uptake protein TrkH,Cluster co-expressed with butyrate metabolism cluster; <br>Potassium homeostasis,,,,,,,2.A.38.1,,core,1,IM 10 TM,Shw00024
W3181_0017,,22,,oxygen-independent protoporphyrinogen oxidase HemG,hemG,,Cofactor synth - heme siroheme,,Dispensable,Protoporphyrinogen IX oxidase oxygen-independent HemG (EC 1.3.-.-),CPO analysis; <br>Cluster co-expressed with butyrate metabolism cluster; <br>Experimental tye; <br>Heme and Siroheme Biosynthesis,,,,,,,,1.3.3.4,core,1,cyt,Shw00025a
W3181_0018,,22,,transcriptional regulator ArsR family,,,Sensory transduction,,Dispensable,Transcriptional regulator ArsR family,,,ArsR HTH_5,,,,,,,core,1,cyt,Shw00026
W3181_0019,,20,,oxygen-independent protoporphyrinogen oxidase HemG,hemG,,Cofactor synth - heme siroheme,,Surprise Dispensable,Protoporphyrinogen IX oxidase oxygen-independent HemG (EC 1.3.-.-),CPO analysis; <br>Cluster co-expressed with butyrate metabolism cluster; <br>Experimental tye; <br>Heme and Siroheme Biosynthesis,,,,,,,,1.3.3.4,no Sden Svi,1,cyt,Shw00027
W3181_0020,,21,,potassium uptake transporter TrkI,trkI,,Transport | uptake - potassium,,Dispensable,Potassium uptake protein TrkH,Cluster co-expressed with butyrate metabolism cluster; <br>Potassium homeostasis,,,,,,,2.A.38.1,,no Sden,1,IM 11 TM,Shw00028
W3181_0021,,22,,potassium uptake protein TrkA,trkA,,Transport | uptake - potassium,,Dispensable,Trk system potassium uptake protein TrkA,Bacterial RNA-metabolizing Zn-dependent hydrolases; <br>Conserved gene cluster associated with Met-tRNA formyltransferase; <br>Glutathione-regulated potassium-efflux system and associated functions; <br>Potassium homeostasis,,,,NAD,,,2.A.38.1,,core,1,cyt-IM assoc,Shw00029
W3181_0022,,22,,16S rRNA (cytosine967-C5)-methyltransferase RsmB,rsmB,,rRNA modification - 16S,,Dispensable,Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-),Conserved gene cluster associated with Met-tRNA formyltransferase,,,,,,,,2.1.1.176,core,1,cyt,Shw00030
W3181_0023,,22,,methionyl-tRNA formyltransferase Fmt,fmt,,Translation initiation factors,,Expected Essential,Methionyl-tRNA formyltransferase (EC 2.1.2.9),Conserved gene cluster associated with Met-tRNA formyltransferase; <br>Folate Biosynthesis; <br>Translation initiation factors bacterial,,,,,,,,2.1.2.9,core,1,cyt,Shw00031
W3181_0024,,22,,peptide deformylase Def,def,,Translation termination factors,,Surprise Dispensable,Peptide deformylase (EC 3.5.1.88),Bacterial RNA-metabolizing Zn-dependent hydrolases; <br>Conserved gene cluster associated with Met-tRNA formyltransferase; <br>Translation termination factors bacterial,,,,,,,,3.5.1.88,core,1,cyt,Shw00032
W3181_0025,,22,,peptidoglycan-binding protein,,,Conserved gene cluster associated with Met-tRNA formyltransferase,,Dispensable,Uncharacterized protein with LysM domain COG1652,Conserved gene cluster associated with Met-tRNA formyltransferase,CBM50,,,,,,,,core,1,peri,Shw00033
W3181_0026,,22,,DNA processing protein DprA,dprA,,,,Dispensable,Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake,CBSS-272943.3.peg.1367; <br>Conserved gene cluster associated with Met-tRNA formyltransferase,,,,,,,,,core,1,cyt,Shw00034
W3181_0027,,22,,protein of unknown function DUF494 Smg,smg,,Conserved gene cluster associated with Met-tRNA formyltransferase,,Dispensable,Protein of unknown function Smg,Conserved gene cluster associated with Met-tRNA formyltransferase,,,,,,,,,core,1,cyt,Shw00035
W3181_0028,,22,,putative DNA topoisomerase YrdD,yrdD,,Conserved gene cluster associated with Met-tRNA formyltransferase,,Dispensable,Similar to C-terminal Zn-finger domain of DNA topoisomerase I,Conserved gene cluster associated with Met-tRNA formyltransferase,,,,,Zn,,,,core,1,cyt,Shw00036
W3181_0029,,22,15716138,threonylcarbamoyladenosine t(6)A tRNA modification protein RimN,rimN,yrdC,tRNA modification,,Expected Essential,Sua5 YciO YrdC YwlC family protein,Experimental tye,,,,,,,,,core,1,cyt,Shw00037
W3181_0030,,22,,aerobic coproporphyrinogen III oxidase HemF,hemF,,Cofactor synth - heme siroheme,,New Essential,Coproporphyrinogen III oxidase aerobic (EC 1.3.3.3),CPO analysis; <br>Experimental tye; <br>Heme and Siroheme Biosynthesis,,,,,,,,1.3.3.3,core,1,cyt,Shw00038a
W3181_0031,,18,,globin,,,oxidative stress,,Dispensable,Hemoglobin-like protein HbO,Bacterial hemoglobins,,,,heme,,,,,no Shal Ssed Sben,1,cyt,Shw00039
W3181_0032,,22,,shikimate 5-dehydrogenase AroE,aroE,,Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate),,Dispensable,Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25),CBSS-281090.3.peg.464; <br>Chorismate Synthesis; <br>Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate),,,,,,,,1.1.1.25,core,1,cyt,Shw00040
W3181_0033,,22,22125379,G-protein receptor interacting sweet protein ,,,,,Unknown,hypothetical protein,,,,,,,,,,core,1,cyt,Shw00041
W3181_0034,,22,,trimeric LpxA-like enzyme YrdA,yrdA,,,,Dispensable,carbonic anhydrase family 3,,,,,,,,,,core,1,cyt,Shw00042
W3181_0035,,18,,bifunctional diguanylate cyclase/phosphodiesterase with PAS sensory domain,,,1 CP|Sensory transduction,,Dispensable,diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s),Bacterial hemoglobins,,,,,,,,,,1,IM 2 TM,Shw07015
W3181_0036,,22,,lysophospholipase L2 LypA,lypA,,peptidase,,Dispensable,Lysophospholipase L2 (EC 3.1.1.5),Triacylglycerol metabolism,,,S33.010,,,,,3.1.1.5,core,1,cyt,Shw07412
W3181_0037,,22,,lipoprotein of unknown function DUF885,,,,ArgR,Dispensable,protein of unknown function DUF885,,,,,,,,,,core,1,LP-OM,Shw07411
W3181_0038,,22,,adenosine deaminase Add,add,,Purine conversions - adenine/adenosine salvage,,Dispensable,Adenosine deaminase (EC 3.5.4.4),Purine conversions,,,,,,,,3.5.4.4,core,1,cyt,Shw07488
W3181_0039,,22,,coproporphyrinogen III oxidase oxygen-independent HemN,hemN,,Cofactor synth - heme siroheme,,Dispensable,Coproporphyrinogen III oxidase oxygen-independent (EC 1.3.99.22),CPO analysis; <br>Experimental tye; <br>Heme and Siroheme Biosynthesis,,,,SAM,4Fe-4S,,,1.3.99.22,core,1,cyt,Shw07410
W3181_0040,,22,,protein of unknown function DUF2489,,,Cofactor synth - heme siroheme,,Dispensable,Periplasmic/membrane protein associated with DUF414,A cluster based subsystem relating to DUF414; <br>CPO analysis; <br>Experimental tye,,,,,,,,,core,1,IM 1 TM,Shw07409
W3181_0041,,22,20434458,GAP-like protein YihI,yihI,,Cofactor synth - heme siroheme,,Dispensable,Protein of unknown function DUF414,A cluster based subsystem relating to DUF414; <br>CPO analysis; <br>Experimental tye,,,,,,,,,core,1,cyt,Shw07408
W3181_0042,,22,,methyltransferase type 11 associated with YihI,,,,,Dispensable,Putative methyltransferase associated with DUF414,A cluster based subsystem relating to DUF414,,,,SAM,,,,,core,1,cyt,Shw07407
W3181_0043,,22,,diheme cytochrome c4 CytcB,cytcB,,Respiration,,Dispensable,Cytochrome c4,Soluble cytochromes and functionally related electron carriers,,,,heme c (2),,,,,core,1,peri,Shw07406
W3181_0044,,22,12880769,50S ribosome assembly GTPase YihA,yihA,ysxC engB,Ribosome biogenesis - LSU,,Expected Essential,GTP-binding protein EngB,Universal GTPases,,,,GTP,,,,3.6.5.-,core,1,cyt,Shw07405
W3181_0045,,22,,DNA polymerase I PolA,polA,,DNA-replication,,New Essential,DNA polymerase I (EC 2.7.7.7),DNA-replication; <br>DNA Repair Base Excision,,,,,,,,2.7.7.7,core,1,cyt,Shw07404
W3181_0046,,22,,isoprenoid biosynthesis protein ElbB,elbB,,,,Dispensable,Sigma cross-reacting protein 27A,,,,C56,,,,,,core,1,cyt,Shw07295
W3181_0047,,22,,intramembrane protease rhomboid family GlpG,glpG,,Glycerol and Glycerol-3-phosphate Uptake and Utilization,,Dispensable,GlpG protein (membrane protein of glp regulon),Glycerol and Glycerol-3-phosphate Uptake and Utilization,,,,,,,9.B.104.1,,core,1,IM 6 TM,Shw07403
W3181_0048,,22,,thiosulfate sulfurtransferase GlpE,glpE,,Glycerol and Glycerol-3-phosphate Uptake and Utilization,,Unknown,Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1),Glycerol and Glycerol-3-phosphate Uptake and Utilization,,,,,,,,2.8.1.1,core,1,cyt,Shw07402
W3181_0049,,22,,L-threonine 3-dehydrogenase Tdh,tdh,,Glycine Biosynthesis,,Dispensable,L-threonine 3-dehydrogenase (EC 1.1.1.103),Glycine Biosynthesis; <br>Threonine degradation,,,,NAD,Zn,,,1.1.1.103,core,1,cyt,Shw07401
W3181_0050,,22,,2-amino-3-ketobutyrate coenzyme A ligase Kbl,kbl,,Glycine Biosynthesis,,Dispensable,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),Glycine Biosynthesis; <br>Glycine and Serine Utilization,,,,pyridoxyl phsophate (PLP),,,,2.3.1.29,core,1,cyt,Shw07400
W3181_0051,,22,,transcriptional regulator TetR family,,,Sensory transduction,,Dispensable,Transcriptional regulator TetR family,,,TetR,,,,,,,core,1,cyt,Shw07399a
W3181_0052,,22,,3-deoxy-D-manno-octulosonic-acid (KDO) transferase KdtA,kdtA,,KDO2-Lipid A biosynthesis,,Expected Essential,3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-),KDO2-Lipid A biosynthesis; <br>LOS core oligosaccharide biosynthesis,GT30,,,,,,,2.-.-.-,core,1,IM 1 TM,Shw07398a
W3181_0053,,22,,3-deoxy-D-manno-oct-2-ulosonic acid (KDO) kinase KdkA,kdkA,,LPS synth - KDO,,Unknown,3-deoxy-D-manno-octulosonic acid kinase (EC 2.7.1.-),,,,,,,,,2.7.1.-,core,1,cyt,Shw07397
W3181_0054,,22,,ADP-heptose-LPS heptosyltransferase WaaC,waaC,,LOS core oligosaccharide biosynthesis,,Dispensable,ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-),LOS core oligosaccharide biosynthesis,GT9,,,,,,,2.4.1.-,core,1,cyt,Shw07396
W3181_0055,,12,,glycosyl transferase family 4 WabH,wabH,,LPS synth - core polysacch,,Dispensable,Glycosyl transferase group 1 family protein,,GT4,,,,,,,2.4.1.-,,1,cyt,Shw06759
W3181_0056,,12,,CDP-glycerol glycerophosphotransferase family protein,,,Teichoic and lipoteichoic acids biosynthesis,,Dispensable,CDP-glycerol: N-acetyl-beta-D-mannosaminyl-14-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase,Teichoic and lipoteichoic acids biosynthesis,,,,,,,,,,1,cyt,Shw06758
W3181_0057,,1,,glycosyl transferase family 2,,,LOS core oligosaccharide biosynthesis,,,Beta-13-glucosyltransferase,LOS core oligosaccharide biosynthesis,GT2,,,,,,,,W3181 only,1,cyt,W3181_0057
W3181_0058,,10,,glycosyl transferase family 4,,,LPS synth - core polysacch,,Dispensable,Glycosyl transferase group 1 family protein,,GT4,,,,,,,2.4.1.-,,1,cyt,Shw06586
W3181_0059,,5,,membrane sulfatase with DUF3413 domain,,,LPS synth - core polysacch,,,Choline-sulfatase (EC 3.1.6.6),,,,,,,,,3.1.6.-,,1,IM 5 TM,Shw05672
W3181_0060,,22,,phosphopantetheine adenylyltransferase CoaD,coaD,,Cofactor synth - Coenzyme A,,Expected Essential,Phosphopantetheine adenylyltransferase (EC 2.7.7.3),CBSS-266117.6.peg.1260; <br>Coenzyme A Biosynthesis,,,,,,,,2.7.7.3,core,1,cyt,Shw07394
W3181_0061,,22,,outer membrane protein in capsule/EPS biosynthesis locus,,,LPS synth - core polysacch,,Dispensable,hypothetical protein,,,,,,,,,,core,1,OM,Shw07393
W3181_0062,,15,,UDP-glucuronate 4-epimerase WcvA,wcvA,,LPS/capsule biosynthesis - dTDP-L-rhamnose synthesis,,Dispensable,dTDP-glucose 46-dehydratase (EC 4.2.1.46),Rhamnose containing glycans; <br>dTDP-rhamnose synthesis,,,,,,,,5.1.3.6,,1,cyt,Shw06893
W3181_0063,,13,,UDP-glucose dehydrogenase WcvB,wcvB,,Lipid A-Ara4N pathway ( Polymyxin resistance ),,Dispensable,UDP-glucose dehydrogenase (EC 1.1.1.22),Lipid A-Ara4N pathway ( Polymyxin resistance ); <br>Streptococcal Hyaluronic Acid Capsule,,,,,,,,1.1.1.22,,1,cyt,Shw06788a
W3181_0064,,11,,glycosyl transferase family 2,,,LPS synth - core polysacch,,Dispensable,Glycosyl transferase group 2 family protein,,GT2,,,,,,,2.4.1.-,,1,cyt,Shw06652
W3181_0065,,13,,membrane protein COG0398 family,,,LPS synth - core polysacch,,Dispensable,membrane protein putative,,,,,,,,,,,1,IM 5 TM,Shw06805
W3181_0066,,11,,glycosyl transferase family 83,,,Lipid A-Ara4N pathway ( Polymyxin resistance ),,Dispensable,Polymyxin resistance protein ArnT undecaprenyl phosphate-alpha-L-Ara4N transferase; Melittin resistance protein PqaB,Lipid A-Ara4N pathway ( Polymyxin resistance ),GT83,,,,,,,,,1,IM 11 TM,Shw06653
W3181_0067,,22,,formamidopyrimidine-DNA glycosylase MutM,mutM,fpg,DNA Repair Base Excision,,Dispensable,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),DNA Repair Base Excision,,,,,,,,3.2.2.23,core,1,cyt,Shw07392
W3181_0068,,22,,membrane anchored protein associated with MutM,,,DNA Repair Base Excision,,Dispensable,hypothetical protein,,,,,,,,,,core,1,IM 1 TM,Shw07391
W3181_0069,,19,,tungsten cofactor biosynthesis protein MoaA,moaA,,Cofactor tungstate synth,,Dispensable,Molybdenum cofactor biosynthesis protein MoaA,Molybdenum cofactor biosynthesis,,,,SAM,4Fe-4S,,,,no Sden Sben,1,cyt,Shw07099a
W3181_0070,,21,,bifunctional tungstopterin-guanine dinucleotide biosynthesis protein MobB/MoeA,mobB/moeA,,Cofactor tungstate synth,,Dispensable,Molybdopterin-guanine dinucleotide biosynthesis protein MobB / Molybdopterin biosynthesis protein MoeA,Molybdenum cofactor biosynthesis; <br>Molybdenum cofactor biosynthesis,,,,,,,,,no Sden,1,cyt,Shw07217
W3181_0071,,22,,tungstopterin-guanine dinucleotide biosynthesis protein A MobA,mobA,,Cofactor tungstate synth,,Dispensable,Molybdopterin-guanine dinucleotide biosynthesis protein MobA,Molybdenum cofactor biosynthesis,,,,,,,,,core,1,cyt,Shw07390
W3181_0072,,20,,ABC-type tungstate uptake system ATPase componet TupC,tupC,,Cofactor tungstate synth,,Dispensable,ABC-type tungstate transport system ATP-binding protein,ABC transporter tungstate (TC 3.A.1.6.2),,,,ATP,,tungsten,3.A.1.6,,mtr core,1,cyt-IM assoc,Shw07139
W3181_0073,,20,,ABC-type tungstate uptake system permease component TupB,tupB,,Cofactor tungstate synth,,Dispensable,ABC-type tungstate transport system permease protein,ABC transporter tungstate (TC 3.A.1.6.2),,,,,,tungsten,3.A.1.6,,mtr core,1,IM 5 TM,Shw07138
W3181_0074,,20,,ABC-type tungstate uptake system substrate-binding component TupA,tupA,,Cofactor tungstate synth,,Dispensable,ABC-type tungstate transport system periplasmic binding protein,ABC transporter tungstate (TC 3.A.1.6.2),,,,,,tungsten,3.A.1.6,,mtr core,1,peri,Shw07137
W3181_0075,,20,,tungstate-responsive two component Sigma54-dependent signal transduction system response regulator Fis family,,,Cofactor tungstate synth,,Dispensable,Sigma-54 dependent response regulator,,,Fis HTH_8,,ATP,,Sigma54; DNA,,,no Sden,1,cyt-IM assoc,Shw07136
W3181_0076,,20,,tungstate-responsive two component signal transduction system histidine kinase,,,Cofactor tungstate synth,,Dispensable,Signal transduction histidine kinase,,,,,ATP,,,,2.7.13.3,mtr core,1,IM 1 TM,Shw07135
W3181_0077,,18,,acteyltransferase GNAT family,,,Fatty acid degradation,FadR,Dispensable,Acetyltransferase GNAT family,,,,,,,,,,,1,cyt,Shw07046
W3181_0078,,22,,membrane protein of unknown function DUF165,,,Queuosine Biosynthesis,,Dispensable,Putative preQ0 transporter,Queuosine-Archaeosine Biosynthesis,,,,,,,,,core,1,IM 6 TM,Shw07389
W3181_0079,,16,,ABC-type amino acid uptake system substrate-binding component PAAT family,,,Transport - ?,,Dispensable,hypothetical protein,,,,,,,,3.A.1.3,,,1,peri,Shw06944
W3181_0080,,21,,menaquinone-specific isochorismate synthase MenF,menF,,menaquinone biosynthesis,,Dispensable,Isochorismate synthase (EC 5.4.4.2) & Menaquinone-specific isochorismate synthase (EC 5.4.4.2),Chorismate: Intermediate for synthesis of PAPA antibiotics PABA anthranilate 3-hydroxyanthranilate and more.; <br>Menaquinone and Phylloquinone Biosynthesis,,,,,,,,5.4.4.2,no Sden,1,cyt,Shw07216
W3181_0081,,18,,ABC-type transporter ATPase component,,,Transport ECF,,Dispensable,Duplicated ATPase component Dace2069 of energizing module of predicted ECF transporter,,,,,ATP,,,3.A.1,,,1,cyt-IM assoc,Shw07047
W3181_0082,,22,,cyclic di-GMP hydrolase,,,,,Dispensable,HD domain protein,,,,,,,,,,core,1,cyt,Shw07388
W3181_0083,,15,,paraquat-inducible membrane protein PqiA family,,,,,Dispensable,conserved protein of unknown function; putative membrane protein,,,,,,,,,,,1,IM 4 TM,Shw06892
W3181_0084,,20,,hypothetical protein,,,,,Unknown,hypothetical protein,,,,,,,,,,,1,IM 1 TM,Shw07134
W3181_0085,,20,,putative sulfate exporter (PSE) family protein,,,Transport | export - sulfate?,,Dispensable,membrane protein,,,,,,,,2.A.98,,,1,IM 10 TM,Shw07133
W3181_0086,,22,,malate synthase domain protein,,,Serine-glyoxylate cycle,,Dispensable,Malate synthase-related protein,Serine-glyoxylate cycle,,,,,,,,,core,1,cyt,Shw07611
W3181_0087,,22,,transcriptional repressor Xre family,,,1CP|repressor - malate synth domain pro,,Dispensable,Predicted transcriptional regulator,,,HTH_3,,,,,,,core,1,cyt,Shw07610
W3181_0088,,7,,homocysteine S-methyltransferase MmuM,mmuM,,met synth,,,Homocysteine S-methyltransferase family protein,,,,,,,,,2.1.1.10,,1,cyt,Shw06185
W3181_0089,,7,,arginine:ornithine antiporter ArcD,arcD,,Transport antiport - arginine/ornithine,,,Arginine/ornithine antiporter ArcD,Arginine Deiminase Pathway; <br>Arginine and Ornithine Degradation; <br>Polyamine Metabolism,,,,,,,2.A.3.2,,,1,IM 12 TM,Shw06186
W3181_0090,,9,,TonB-dependent siderophore receptor,,,Omp TonB|siderophore (pseudobactin?),,,Putative OMR family iron-siderophore receptor precursor,Ton and Tol transport systems,,,,,,,1.B.14,,,1,OM,Shw06525
W3181_0091,,14,,protoheme IX farnesyltransferase CyoE,cyoE,,Electron transfer - O2,,,Heme O synthase protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB,Biogenesis of cytochrome c oxidases; <br>CBSS-316057.3.peg.563,,,,,,,,2.5.1.-,,1,IM 9 TM,Shw06839
W3181_0092,,14,,cytochrome bo3 ubiquinol oxidase subunit IV CyoD,cyoD,,Electron transfer - O2,,,Cytochrome O ubiquinol oxidase subunit IV (EC 1.10.3.-),Cytochrome c oxidases d&O copy; <br>Terminal cytochrome O ubiquinol oxidase; <br>Terminal cytochrome oxidases,,,,,,,3.D.4.5,1.10.3.10,,1,IM 3 TM,Shw06840
W3181_0093,,14,,cytochrome bo3 ubiquinol oxidase subunit III CyoC,cyoC,,Electron transfer - O2,,,Cytochrome O ubiquinol oxidase subunit III (EC 1.10.3.-),Cytochrome c oxidases d&O copy; <br>Terminal cytochrome O ubiquinol oxidase; <br>Terminal cytochrome oxidases,,,,,,,3.D.4.5,1.10.3.10,,1,IM 5 TM,Shw06841
W3181_0094,,14,,cytochrome bo3 ubiquinol oxidase subunit I CyoB,cyoB,,Electron transfer - O2,,,Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-),Cytochrome c oxidases d&O copy; <br>Terminal cytochrome O ubiquinol oxidase; <br>Terminal cytochrome oxidases,,,,,,,3.D.4.5,1.10.3.10,,1,IM 14 TM,Shw06842
W3181_0095,,14,,cytochrome bo3 ubiquinol oxidase subunit II CyoA,cyoA,,Electron transfer - O2,,,Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-),Cytochrome c oxidases d&O copy; <br>Terminal cytochrome O ubiquinol oxidase; <br>Terminal cytochrome oxidases,,,,,,,3.D.4.5,1.10.3.10,,1,LP-IM with 2 TM,Shw06843
W3181_0096,,14,,membrane protein clustering with cytochrome bo3,,,,,,hypothetical protein,,,,,,,,,,,1,IM 2 TM,Shw06844
W3181_0097,,10,,diguanylate cyclase/phosphodiesterase with PAS and LOV sensory domains and Chase small molecule binding site,,,Sensory transduction (sensitive to bue light oxygen voltage),,,Sensory box/GGDEF family protein,,,,,,,,,,,1,IM 6 TM,Shw06594
W3181_0098,,11,,putative cytoplasmic protein,,,,,Dispensable,hypothetical protein,,,,,,,,,,,1,cyt,Shw06666
W3181_0099,,21,,histidine-rich protein of unknown function DUF3300,,,Zn binding?,,Dispensable,putative exported protein,,,,,,,,,,no OS155,1,peri,Shw07246
W3181_0100,,21,,two component signal transduction system histidine kinase,,,Sensory transduction,,Dispensable,Sensor protein (EC 2.7.13.3),,,,,ATP,,,,2.7.13.3,no OS155,1,IM 2 TM,Shw07219
W3181_0101,,21,,two component signal transduction system response regulator OmpR family,,,Sensory transduction,,Dispensable,Two-component system response regulator OmpR,,,OmpR,,,,,,,no OS155,1,cyt-IM assoc,Shw07220
W3181_0102,,21,,propeptide PepSY amd peptidase M4 domain protein,,,cleavage c-term T5SS?,,Dispensable,Propeptide PepSY amd peptidase M4 precursor,,,,M22*,,,,,,no OS155,1,peri,Shw07221
W3181_0103,,21,,putative bifunctional autotransporter / extracellular effector,,,T5SS,,Dispensable,hypothetical protein,,,,,,,,1.B.12,,no Sden OS155,1,OM | extra,Shw07222
W3181_0104,,18,,antioxidant AhpC/Tsa family,,,stress,,Dispensable,Antioxidant AhpC/Tsa family,,,,,,,,,,,1,cyt,Shw07012
