"","Shew_HL_HO2","C_lim_CC","Lactate_CC","FC.HLHO.div.C_Lim","FC.HLHO.div.lact","FC.C_lim.div.lac","W3181","X","Genome.count","PMID","Product.Descriptor","GENE","Alias","Role","Regulated.by","Essentiality.Class.in.MR.1","FIG.Function","FIG.Subsystem","CAZY","family","Merops.family","cofactor..organic.","cofactor..inorganic","substrate","Transport.Family","EC.NUMBER","evolution","Genome.count.1","Localization","Group.ID"
"0016",41.8707762874382,25.6225544401496,44.5735912676296,1.63413746998731,0.939362862553229,0.574837111201252,"W3181_0016",NA,22,"","potassium uptake transporter TrkH","trkH","","Transport - potassium Transport | uptake","","Dispensable","Potassium uptake protein TrkH","Cluster co-expressed with butyrate metabolism cluster; <br>Potassium homeostasis","","","","","","","2.A.38.1","","core",1,"IM 10 TM","Shw00024"
"0017",42.8012379827146,58.4514523165912,45.9243061545275,0.73225277193952,0.931995310690067,1.27277812581233,"W3181_0017",NA,22,"","oxygen-independent protoporphyrinogen oxidase HemG","hemG","","Cofactor synth - heme siroheme","","Dispensable","Protoporphyrinogen IX oxidase oxygen-independent HemG (EC 1.3.-.-)","CPO analysis; <br>Cluster co-expressed with butyrate metabolism cluster; <br>Experimental tye; <br>Heme and Siroheme Biosynthesis","","","","","","","","1.3.3.4","core",1,"cyt","Shw00025a"
"0018",87.463399355982,77.6683681467034,152.630782219459,1.12611351883662,0.573039055976424,0.508864378582745,"W3181_0018",NA,22,"","transcriptional regulator ArsR family","","","Sensory transduction","","Dispensable","Transcriptional regulator ArsR family","","","ArsR HTH_5","","","","","","","core",1,"cyt","Shw00026"
"0019",40.9403145921618,30.4267833976776,37.8200168331403,1.34553541388429,1.08250387018039,0.804515331971395,"W3181_0019",NA,20,"","oxygen-independent protoporphyrinogen oxidase HemG","hemG","","Cofactor synth - heme siroheme","","Surprise Dispensable","Protoporphyrinogen IX oxidase oxygen-independent HemG (EC 1.3.-.-)","CPO analysis; <br>Cluster co-expressed with butyrate metabolism cluster; <br>Experimental tye; <br>Heme and Siroheme Biosynthesis","","","","","","","","1.3.3.4","no Sden Svi",1,"cyt","Shw00027"
"0020",34.427082725227,32.8288978764416,36.4693019462424,1.04868225716259,0.94400169150411,0.900178948443627,"W3181_0020",NA,21,"","potassium uptake transporter TrkI","trkI","","Transport | uptake - potassium","","Dispensable","Potassium uptake protein TrkH","Cluster co-expressed with butyrate metabolism cluster; <br>Potassium homeostasis","","","","","","","2.A.38.1","","no Sden",1,"IM 11 TM","Shw00028"
"0021",38.1489295063326,31.2274882239323,45.9243061545275,1.22164578952898,0.830691472571581,0.67997735488604,"W3181_0021",NA,22,"","potassium uptake protein TrkA","trkA","","Transport | uptake - potassium","","Dispensable","Trk system potassium uptake protein TrkA","Bacterial RNA-metabolizing Zn-dependent hydrolases; <br>Conserved gene cluster associated with Met-tRNA formyltransferase; <br>Glutathione-regulated potassium-efflux system and associated functions; <br>Potassium homeostasis","","","","NAD","","","2.A.38.1","","core",1,"cyt-IM assoc","Shw00029"
"0022",23.2615423819101,23.2204399613855,22.9621530772637,1.00177009654395,1.01303838118486,1.01124837393308,"W3181_0022",NA,22,"","16S rRNA (cytosine967-C5)-methyltransferase RsmB","rsmB","","rRNA modification - 16S","","Dispensable","Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)","Conserved gene cluster associated with Met-tRNA formyltransferase","","","","","","","","2.1.1.176","core",1,"cyt","Shw00030"
"0023",19.5396956008045,20.8183254826215,17.5592935296723,0.938581521223482,1.1127836987169,1.18560154185258,"W3181_0023",NA,22,"","methionyl-tRNA formyltransferase Fmt","fmt","","Translation initiation factors","","Expected Essential","Methionyl-tRNA formyltransferase (EC 2.1.2.9)","Conserved gene cluster associated with Met-tRNA formyltransferase; <br>Folate Biosynthesis; <br>Translation initiation factors bacterial","","","","","","","","2.1.2.9","core",1,"cyt","Shw00031"
"0024",72.5760122315595,60.0528619691005,54.0285954759147,1.20853544447062,1.34328889345112,1.1115014454868,"W3181_0024",NA,22,"","peptide deformylase Def","def","","Translation termination factors","","Surprise Dispensable","Peptide deformylase (EC 3.5.1.88)","Bacterial RNA-metabolizing Zn-dependent hydrolases; <br>Conserved gene cluster associated with Met-tRNA formyltransferase; <br>Translation termination factors bacterial","","","","","","","","3.5.1.88","core",1,"cyt","Shw00032"
"0025",58.6190868024135,54.4479281853178,124.265769594604,1.07660821552105,0.471723524456078,0.438157091554215,"W3181_0025",NA,22,"","peptidoglycan-binding protein","","","Conserved gene cluster associated with Met-tRNA formyltransferase","","Dispensable","Uncharacterized protein with LysM domain COG1652","Conserved gene cluster associated with Met-tRNA formyltransferase","CBM50","","","","","","","","core",1,"peri","Shw00033"
"0026",100.489863089852,104.091627413108,136.422203576685,0.965398136115582,0.736609294200156,0.763010893271464,"W3181_0026",NA,22,"","DNA processing protein DprA","dprA","","","","Dispensable","Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake","CBSS-272943.3.peg.1367; <br>Conserved gene cluster associated with Met-tRNA formyltransferase","","","","","","","","","core",1,"cyt","Shw00034"
"0027",240.989579076589,159.34026042468,370.095879010016,1.51242114475208,0.651154451438966,0.430537786183693,"W3181_0027",NA,22,"","protein of unknown function DUF494 Smg","smg","","Conserved gene cluster associated with Met-tRNA formyltransferase","","Dispensable","Protein of unknown function Smg","Conserved gene cluster associated with Met-tRNA formyltransferase","","","","","","","","","core",1,"cyt","Shw00035"
"0028",39.079391201609,36.0317171814603,35.1185870593446,1.08458309119158,1.1127836987169,1.0260013342955,"W3181_0028",NA,22,"","putative DNA topoisomerase YrdD","yrdD","","Conserved gene cluster associated with Met-tRNA formyltransferase","","Dispensable","Similar to C-terminal Zn-finger domain of DNA topoisomerase I","Conserved gene cluster associated with Met-tRNA formyltransferase","","","","","Zn","","","","core",1,"cyt","Shw00036"
"0029",28.8443125535685,54.4479281853178,44.5735912676296,0.529759598113534,0.64711663864778,1.22152886130266,"W3181_0029",NA,22,"15716138","threonylcarbamoyladenosine t(6)A tRNA modification protein RimN","rimN","yrdC","tRNA modification","","Expected Essential","Sua5 YciO YrdC YwlC family protein","Experimental tye","","","","","","","","","core",1,"cyt","Shw00037"
"0030",33.4966210299506,71.262729536666,40.521446606936,0.470044036310957,0.826639319046842,1.75864228708133,"W3181_0030",NA,22,"","aerobic coproporphyrinogen III oxidase HemF","hemF","","Cofactor synth - heme siroheme","","New Essential","Coproporphyrinogen III oxidase aerobic (EC 1.3.3.3)","CPO analysis; <br>Experimental tye; <br>Heme and Siroheme Biosynthesis","","","","","","","","1.3.3.3","core",1,"cyt","Shw00038a"
"0031",16.7483105149753,15.2133916988388,14.8578637558765,1.10089261135987,1.12723543506388,1.02392860432723,"W3181_0031",NA,18,"","globin","","","oxidative stress","","Dispensable","Hemoglobin-like protein HbO","Bacterial hemoglobins","","","","heme","","","","","no Shal Ssed Sben",1,"cyt","Shw00039"
"0032",84.6720142701528,52.0458137065538,16.2085786427744,1.62687463678737,5.2239012523099,3.21100417585074,"W3181_0032",NA,22,"","shikimate 5-dehydrogenase AroE","aroE","","Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)","","Dispensable","Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)","CBSS-281090.3.peg.464; <br>Chorismate Synthesis; <br>Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)","","","","","","","","1.1.1.25","core",1,"cyt","Shw00040"
"0033",76.2978590126652,24.8218496138949,17.5592935296723,3.07381843816968,4.34515539498981,1.41360183836269,"W3181_0033",NA,22,"22125379","G-protein receptor interacting sweet protein ","","","","","Unknown","hypothetical protein","","","","","","","","","","core",1,"cyt","Shw00041"
"0034",26.0529274677393,56.0493378378272,21.6114381903659,0.464821324796391,1.20551567360998,2.59350337280252,"W3181_0034",NA,22,"","trimeric LpxA-like enzyme YrdA","yrdA","","","","Dispensable","carbonic anhydrase family 3","","","","","","","","","","core",1,"cyt","Shw00042"
"R0001",17381.9549294585,9472.33809459279,12242.8797348423,1.83502264761652,1.41976032648518,0.773701800535969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id1",17381.9549294585,9472.33809459279,12242.8797348423,1.83502264761652,1.41976032648518,0.773701800535969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R0002",434.525611694081,250.620610617713,155.332211993255,1.7337983920121,2.79739537677446,1.61344905478199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id2",434.525611694081,250.620610617713,155.332211993255,1.7337983920121,2.79739537677446,1.61344905478199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R0003",0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id3",0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",58.6190868024135,39.234536486479,56.7300252497104,1.4940685439884,1.03329914880855,0.691600899414006,"W3181_0035",NA,18,"","bifunctional diguanylate cyclase/phosphodiesterase with PAS sensory domain","","","1 CP|Sensory transduction","","Dispensable","diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)","Bacterial hemoglobins","","","","","","","","","",1,"IM 2 TM","Shw07015"
"0036",20.4701572960809,13.6119820463295,20.260723303468,1.50383369787068,1.0103369455017,0.671840873716463,"W3181_0036",NA,22,"","lysophospholipase L2 LypA","lypA","","peptidase","","Dispensable","Lysophospholipase L2 (EC 3.1.1.5)","Triacylglycerol metabolism","","","S33.010","","","","","3.1.1.5","core",1,"cyt","Shw07412"
"0037",7.44369356221123,5.60493378378272,6.75357443448934,1.32806092798969,1.10218575872912,0.829921079296808,"W3181_0037",NA,22,"","lipoprotein of unknown function DUF885","","","","ArgR","Dispensable","protein of unknown function DUF885","","","","","","","","","","core",1,"LP-OM","Shw07411"
"0038",86.5329376607056,85.6754164092501,91.848612309055,1.01000895341272,0.942125694501915,0.932789448369311,"W3181_0038",NA,22,"","adenosine deaminase Add","add","","Purine conversions - adenine/adenosine salvage","","Dispensable","Adenosine deaminase (EC 3.5.4.4)","Purine conversions","","","","","","","","3.5.4.4","core",1,"cyt","Shw07488"
"0039",53.036316630755,38.4338316602243,62.1328847973019,1.37993830798929,0.853594949015761,0.618574717488304,"W3181_0039",NA,22,"","coproporphyrinogen III oxidase oxygen-independent HemN","hemN","","Cofactor synth - heme siroheme","","Dispensable","Coproporphyrinogen III oxidase oxygen-independent (EC 1.3.99.22)","CPO analysis; <br>Experimental tye; <br>Heme and Siroheme Biosynthesis","","","","SAM","4Fe-4S","","","1.3.99.22","core",1,"cyt","Shw07410"
"0040",28.8443125535685,65.6577957528833,29.7157275117531,0.439312837460004,0.97067495797167,2.20953014617981,"W3181_0040",NA,22,"","protein of unknown function DUF2489","","","Cofactor synth - heme siroheme","","Dispensable","Periplasmic/membrane protein associated with DUF414","A cluster based subsystem relating to DUF414; <br>CPO analysis; <br>Experimental tye","","","","","","","","","core",1,"IM 1 TM","Shw07409"
"0041",35.3575444205034,143.326163899587,70.2371741186891,0.24669288187518,0.503402149419551,2.0406026537655,"W3181_0041",NA,22,"20434458","GAP-like protein YihI","yihI","","Cofactor synth - heme siroheme","","Dispensable","Protein of unknown function DUF414","A cluster based subsystem relating to DUF414; <br>CPO analysis; <br>Experimental tye","","","","","","","","","core",1,"cyt","Shw07408"
"0042",30.7052359441213,32.028193050187,24.3128679641616,0.958693982392557,1.26292118187712,1.31733504650287,"W3181_0042",NA,22,"","methyltransferase type 11 associated with YihI","","","","","Dispensable","Putative methyltransferase associated with DUF414","A cluster based subsystem relating to DUF414","","","","SAM","","","","","core",1,"cyt","Shw07407"
"0043",149.804332939501,269.837526447825,187.749369278804,0.555164935402218,0.79789526598646,1.43722201296518,"W3181_0043",NA,22,"","diheme cytochrome c4 CytcB","cytcB","","Respiration","","Dispensable","Cytochrome c4","Soluble cytochromes and functionally related electron carriers","","","","heme c (2)","","","","","core",1,"peri","Shw07406"
"0044",133.986484119802,93.6824646717969,105.355761178034,1.43021946091197,1.2717527985336,0.889201156389437,"W3181_0044",NA,22,"12880769","50S ribosome assembly GTPase YihA","yihA","ysxC engB","Ribosome biogenesis - LSU","","Expected Essential","GTP-binding protein EngB","Universal GTPases","","","","GTP","","","","3.6.5.-","core",1,"cyt","Shw07405"
"0045",23.2615423819101,32.8288978764416,25.6635828510595,0.708569092677426,0.906402762112765,1.27920166357779,"W3181_0045",NA,22,"","DNA polymerase I PolA","polA","","DNA-replication","","New Essential","DNA polymerase I (EC 2.7.7.7)","DNA-replication; <br>DNA Repair Base Excision","","","","","","","","2.7.7.7","core",1,"cyt","Shw07404"
"0046",85.6024759654292,124.109248069474,67.5357443448934,0.689734869052709,1.26751362253849,1.8376823898715,"W3181_0046",NA,22,"","isoprenoid biosynthesis protein ElbB","elbB","","","","Dispensable","Sigma cross-reacting protein 27A","","","","C56","","","","","","core",1,"cyt","Shw07295"
"0047",45.5926230685438,60.8535667953552,40.521446606936,0.749218582731025,1.12514796203598,1.50176195301327,"W3181_0047",NA,22,"","intramembrane protease rhomboid family GlpG","glpG","","Glycerol and Glycerol-3-phosphate Uptake and Utilization","","Dispensable","GlpG protein (membrane protein of glp regulon)","Glycerol and Glycerol-3-phosphate Uptake and Utilization","","","","","","","9.B.104.1","","core",1,"IM 6 TM","Shw07403"
"0048",35.3575444205034,33.6296027026963,22.9621530772637,1.05138156799184,1.53981833940098,1.46456661052378,"W3181_0048",NA,22,"","thiosulfate sulfurtransferase GlpE","glpE","","Glycerol and Glycerol-3-phosphate Uptake and Utilization","","Unknown","Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)","Glycerol and Glycerol-3-phosphate Uptake and Utilization","","","","","","","","2.8.1.1","core",1,"cyt","Shw07402"
"0049",49.3144698496494,23.2204399613855,31.066442398651,2.12375260467317,1.58738709816966,0.747444450298367,"W3181_0049",NA,22,"","L-threonine 3-dehydrogenase Tdh","tdh","","Glycine Biosynthesis","","Dispensable","L-threonine 3-dehydrogenase (EC 1.1.1.103)","Glycine Biosynthesis; <br>Threonine degradation","","","","NAD","Zn","","","1.1.1.103","core",1,"cyt","Shw07401"
"0050",26.0529274677393,51.2451088802991,16.2085786427744,0.508398323996053,1.60735423147997,3.16160411160689,"W3181_0050",NA,22,"","2-amino-3-ketobutyrate coenzyme A ligase Kbl","kbl","","Glycine Biosynthesis","","Dispensable","2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)","Glycine Biosynthesis; <br>Glycine and Serine Utilization","","","","pyridoxyl phsophate (PLP)","","","","2.3.1.29","core",1,"cyt","Shw07400"
"0051",13.9569254291461,20.8183254826215,17.5592935296723,0.670415372302487,0.794845499083502,1.18560154185258,"W3181_0051",NA,22,"","transcriptional regulator TetR family","","","Sensory transduction","","Dispensable","Transcriptional regulator TetR family","","","TetR","","","","","","","core",1,"cyt","Shw07399a"
"0052",24.1920040771865,26.4232592664042,16.2085786427744,0.915557154901982,1.49254321494569,1.6302021200473,"W3181_0052",NA,22,"","3-deoxy-D-manno-octulosonic-acid (KDO) transferase KdtA","kdtA","","KDO2-Lipid A biosynthesis","","Expected Essential","3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)","KDO2-Lipid A biosynthesis; <br>LOS core oligosaccharide biosynthesis","GT30","","","","","","","2.-.-.-","core",1,"IM 1 TM","Shw07398a"
"0053",28.8443125535685,8.80775308880141,24.3128679641616,3.27487751561094,1.1863805041876,0.362267137788289,"W3181_0053",NA,22,"","3-deoxy-D-manno-oct-2-ulosonic acid (KDO) kinase KdkA","kdkA","","LPS synth - KDO","","Unknown","3-deoxy-D-manno-octulosonic acid kinase (EC 2.7.1.-)","","","","","","","","","2.7.1.-","core",1,"cyt","Shw07397"
"0054",45.5926230685438,59.2521571428459,62.1328847973019,0.769467733615647,0.733792149153899,0.953636022794468,"W3181_0054",NA,22,"","ADP-heptose-LPS heptosyltransferase WaaC","waaC","","LOS core oligosaccharide biosynthesis","","Dispensable","ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-)","LOS core oligosaccharide biosynthesis","GT9","","","","","","","2.4.1.-","core",1,"cyt","Shw07396"
"0055",29.7747742488449,34.430307528951,39.1707317200382,0.864783860086309,0.76012810946836,0.878980453442432,"W3181_0055",NA,12,"","glycosyl transferase family 4 WabH","wabH","","LPS synth - core polysacch","","Dispensable","Glycosyl transferase group 1 family protein","","GT4","","","","","","","2.4.1.-","",1,"cyt","Shw06759"
"0056",42.8012379827146,40.8359461389884,44.5735912676296,1.04812651669774,0.96023759283219,0.916146645976995,"W3181_0056",NA,12,"","CDP-glycerol glycerophosphotransferase family protein","","","Teichoic and lipoteichoic acids biosynthesis","","Dispensable","CDP-glycerol: N-acetyl-beta-D-mannosaminyl-14-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase","Teichoic and lipoteichoic acids biosynthesis","","","","","","","","","",1,"cyt","Shw06758"
"0057",21.4006189913573,20.8183254826215,32.4171572855488,1.02797023753048,0.660163345072131,0.642200835170149,"W3181_0057",NA,1,"","glycosyl transferase family 2","","","LOS core oligosaccharide biosynthesis","","","Beta-13-glucosyltransferase","LOS core oligosaccharide biosynthesis","GT2","","","","","","","","W3181 only",1,"cyt","W3181_0057"
"0058",14.8873871244225,19.2169158301122,16.2085786427744,0.774702207993985,0.918488132274269,1.18560154185258,"W3181_0058",NA,10,"","glycosyl transferase family 4","","","LPS synth - core polysacch","","Dispensable","Glycosyl transferase group 1 family protein","","GT4","","","","","","","2.4.1.-","",1,"cyt","Shw06586"
"0059",21.4006189913573,25.6225544401496,21.6114381903659,0.835225817993515,0.990245017608196,1.18560154185258,"W3181_0059",NA,5,"","membrane sulfatase with DUF3413 domain","","","LPS synth - core polysacch","","","Choline-sulfatase (EC 3.1.6.6)","","","","","","","","","3.1.6.-","",1,"IM 5 TM","Shw05672"
"0060",71.6455505362831,97.6859888030702,62.1328847973019,0.733427090354961,1.15310194867041,1.57221074028277,"W3181_0060",NA,22,"","phosphopantetheine adenylyltransferase CoaD","coaD","","Cofactor synth - Coenzyme A","","Expected Essential","Phosphopantetheine adenylyltransferase (EC 2.7.7.3)","CBSS-266117.6.peg.1260; <br>Coenzyme A Biosynthesis","","","","","","","","2.7.7.3","core",1,"cyt","Shw07394"
"0061",69.7846271457303,51.2451088802991,90.4978974221571,1.36178122498943,0.771118767767576,0.566257452825114,"W3181_0061",NA,22,"","outer membrane protein in capsule/EPS biosynthesis locus","","","LPS synth - core polysacch","","Dispensable","hypothetical protein","","","","","","","","","","core",1,"OM","Shw07393"
"0062",5.58277017165843,3.2028193050187,2.70142977379574,1.74307996798647,2.0665982976171,1.18560154185258,"W3181_0062",NA,15,"","UDP-glucuronate 4-epimerase WcvA","wcvA","","LPS/capsule biosynthesis - dTDP-L-rhamnose synthesis","","Dispensable","dTDP-glucose 46-dehydratase (EC 4.2.1.46)","Rhamnose containing glycans; <br>dTDP-rhamnose synthesis","","","","","","","","5.1.3.6","",1,"cyt","Shw06893"
"0063",12.0960020385933,14.4126868725841,5.40285954759147,0.839260725326817,2.23881482241853,2.66760346916831,"W3181_0063",NA,13,"","UDP-glucose dehydrogenase WcvB","wcvB","","Lipid A-Ara4N pathway ( Polymyxin resistance )","","Dispensable","UDP-glucose dehydrogenase (EC 1.1.1.22)","Lipid A-Ara4N pathway ( Polymyxin resistance ); <br>Streptococcal Hyaluronic Acid Capsule","","","","","","","","1.1.1.22","",1,"cyt","Shw06788a"
"0064",54.8972400213079,46.4408799227711,43.2228763807318,1.18208871392186,1.27009687041051,1.0744513973039,"W3181_0064",NA,11,"","glycosyl transferase family 2","","","LPS synth - core polysacch","","Dispensable","Glycosyl transferase group 2 family protein","","GT2","","","","","","","2.4.1.-","",1,"cyt","Shw06652"
"0065",64.2018569740719,46.4408799227711,48.6257359283232,1.38244273323065,1.32032669014426,0.95506790871458,"W3181_0065",NA,13,"","membrane protein COG0398 family","","","LPS synth - core polysacch","","Dispensable","membrane protein putative","","","","","","","","","","",1,"IM 5 TM","Shw06805"
